符合條件商品
資料日期：2022年 11月 14日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/14),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:12 符合檔數(24)
1	,1736.TW,喬山,73.9,-1.99,1386,67.7,9.16,9,投連賣
2	,2231.TW,為升,142,-2.07,335,138,2.9,9,投連賣
3	,1319.TW,東陽,41.05,0.37,2564,43.75,-6.17,8,投連賣
4	,3708.TW,上緯投控,94.6,-1.77,1112,92.5,2.27,8,投連賣
5	,1519.TW,華城,48.9,2.09,3632,38.1,28.35,7,投連賣
6	,2308.TW,台達電,281,-1.92,5149,285.5,-1.58,7,投連賣
7	,3533.TW,嘉澤,829,0.36,375,787,5.34,7,投連賣
8	,4572.TW,駐龍,122.5,3.81,1037,114.5,6.99,7,投連賣
9	,8916.TW,光隆,52.9,-0.94,490,57.9,-8.64,7,投連賣
10	,1102.TW,亞泥,41.55,0.24,6062,40.6,2.34,6,投連賣
11	,2002.TW,中鋼,30.7,0.16,37216,28.95,6.04,6,投連賣
12	,2732.TW,六角,126,0.8,213,117.5,7.23,6,投連賣
13	,3036.TW,文曄,62.7,-0.95,1327,60.4,3.81,6,投連賣
14	,3289.TW,宜特,77.8,1.7,3592,78.4,-0.77,6,投連賣
15	,5522.TW,遠雄,58.5,0.34,1205,52.5,11.43,6,投連賣
16	,6176.TW,瑞儀,106,0.47,1064,102.5,3.41,6,投連賣
17	,9958.TW,世紀鋼,88.9,-1.22,9352,81.7,8.81,6,投連賣
18	,1513.TW,中興電,66,0.15,12515,52.5,25.71,5,投連賣
19	,2392.TW,正崴,36.85,-0.94,578,35.75,3.08,5,投連賣
20	,3546.TW,宇峻,76.1,0.66,226,70.8,7.49,5,投連賣
21	,5425.TW,台半,75.3,0,4216,77.2,-2.46,5,投連賣
22	,8183.TW,精星,54.1,-0.18,400,56.7,-4.59,5,投連賣
23	,8422.TW,可寧衛,177.5,0,124,170.5,4.11,5,投連賣
24	,9939.TW,宏全,86.9,2.12,1021,81.6,6.5,5,投連賣
