符合條件商品
資料日期：2022年  8月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:27 符合檔數(12)
1	,2640.TW,大車隊,86.4,1.17,61,77.9,10.91,14,投連賣
2	,4129.TW,聯合,50.6,2.64,2781,30.6,65.36,14,投連賣
3	,6187.TW,萬潤,65,0.93,810,75.3,-13.68,9,投連賣
4	,1560.TW,中砂,109.5,-1.35,2814,152.5,-28.2,8,投連賣
5	,3567.TW,逸昌,24.95,0.4,68,28,-10.89,8,投連賣
6	,3105.TW,穩懋,138,0.36,2757,158.5,-12.93,6,投連賣
7	,3529.TW,力旺,1350,1.12,770,1105,22.17,6,投連賣
8	,6121.TW,新普,288.5,-0.35,276,259,16.64,6,投連賣
9	,8155.TW,博智,108,-1.37,385,108.5,-0.46,6,投連賣
10	,2455.TW,全新,67,0,1464,71,-5.63,5,投連賣
11	,6143.TW,振曜,66.9,0.45,825,50,40.4,5,投連賣
12	,6146.TW,耕興,231,2.21,247,206,12.14,5,投連賣
