符合條件商品
資料日期：2021年 12月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:58 符合檔數(16)
1	,3661.TW,世芯-KY,803,-1.35,2950,990,-17.86,13,投連賣
2	,3035.TW,智原,159,0.63,7973,187,-13.01,12,投連賣
3	,3711.TW,日月光投控,93.8,-3.6,11870,104,-2.29,11,投連賣
4	,4958.TW,臻鼎-KY,108,-1.37,2633,99.5,13.66,11,投連賣
5	,9914.TW,美利達,171,-2.29,298,299.5,-40.88,11,投連賣
6	,3443.TW,創意,726,-0.55,5389,592,24.17,8,投連賣
7	,6510.TW,精測,490.5,-1.21,161,679,-25.07,7,投連賣
8	,6732.TW,昇佳電子,220,-1.57,74,497,-52.21,7,投連賣
9	,6781.TW,AES-KY,680,1.34,965,1545,-55.34,7,投連賣
10	,8155.TW,博智,108,-1.37,385,130,-12.73,7,投連賣
11	,1476.TW,儒鴻,492.5,1.23,1098,585,-13.27,6,投連賣
12	,8255.TW,朋程,177,5.04,12777,239.5,-23.92,6,投連賣
13	,2360.TW,致茂,179,0.56,783,184,1.69,5,投連賣
14	,3141.TW,晶宏,79.9,0.63,950,227,-63.45,5,投連賣
15	,3189.TW,景碩,107,0,9581,228,-51.61,5,投連賣
16	,6239.TW,力成,81.3,0.62,1926,99.1,-11.29,5,投連賣
