符合條件商品
資料日期：2022年  6月 10日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(18)
1	,5439.TW,高技,46.85,0,102,48.9,4.53,20,投連賣
2	,8046.TW,南電,242,-0.41,10124,365,-31.33,14,投連賣
3	,2458.TW,義隆,86.1,-1.71,718,148,-34.26,13,投連賣
4	,5230.TW,雷笛克光學,22.8,0,19,24.35,-3.14,13,投連賣
5	,3035.TW,智原,159,0.63,7973,225.5,-27.86,12,投連賣
6	,2344.TW,華邦電,20.1,-0.99,9528,27.85,-25.03,11,投連賣
7	,6147.TW,頎邦,58.6,0.51,604,69.3,-6.03,11,投連賣
8	,1308.TW,亞聚,28.2,-0.88,1358,30,4.83,10,投連賣
9	,2393.TW,億光,37.5,0.94,242,44.2,-7.22,9,投連賣
10	,2014.TW,中鴻,27.6,1.1,53751,32.55,-6.03,8,投連賣
11	,5284.TW,jpp-KY,68.8,-2.41,2843,43.7,65.66,8,投連賣
12	,2449.TW,京元電子,36.4,-1.75,4505,46.1,-14.73,7,投連賣
13	,8104.TW,錸寶,35.2,-0.42,113,49.8,-25.79,7,投連賣
14	,2640.TW,大車隊,86.4,1.17,61,79.4,13.79,6,投連賣
15	,6438.TW,迅得,86.2,-0.69,51,106,-18.68,6,投連賣
16	,8299.TW,群聯,305,-0.81,792,381.5,-13.66,6,投連賣
17	,3017.TW,奇鋐,111,-1.77,2015,105,9.75,5,投連賣
18	,6274.TW,台燿,52.5,1.16,910,71.9,-26.98,5,投連賣
