符合條件商品
資料日期：2021年 11月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:02 符合檔數(19)
1	,1301.TW,台塑,86.8,-0.46,6046,107.5,-12.59,11,投連賣
2	,4919.TW,新唐,117,-2.09,4502,130,-6.07,9,投連賣
3	,2303.TW,聯電,41.95,-2.1,34060,59.2,-24.55,8,投連賣
4	,3645.TW,達邁,32.55,-1.21,101,41.5,-19.19,8,投連賣
5	,6147.TW,頎邦,58.6,0.51,604,65.2,-0.12,8,投連賣
6	,2368.TW,金像電,88.4,-1.12,3685,69.2,19.64,7,投連賣
7	,3529.TW,力旺,1350,1.12,770,2360,-42.1,7,投連賣
8	,2344.TW,華邦電,20.1,-0.99,9528,27.25,-23.4,6,投連賣
9	,2454.TW,聯發科,660,-0.15,2431,932,-22.14,6,投連賣
10	,3661.TW,世芯-KY,803,-1.35,2950,1205,-32.52,6,投連賣
11	,3711.TW,日月光投控,93.8,-3.6,11870,98.3,3.37,6,投連賣
12	,5871.TW,中租-KY,216.5,0.46,2711,263,-11.19,6,投連賣
13	,6415.TW,矽力*-KY,445,1.37,2330,4685,-61.8,6,投連賣
14	,8081.TW,致新,141,-1.05,262,225,-31.01,6,投連賣
15	,8358.TW,金居,51.3,-0.58,1372,74.8,-24.57,6,投連賣
16	,2492.TW,華新科,78.7,-1.38,848,158,-47.68,5,投連賣
17	,2881.TW,富邦金,56.7,-0.18,6587,72.7,-12.96,5,投連賣
18	,6224.TW,聚鼎,57.2,-2.39,189,120.5,-50.39,5,投連賣
19	,6756.TW,威鋒電子,191,-2.05,282,434,-54.79,5,投連賣
