符合條件商品
資料日期：2022年  7月  7日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(27)
1	,5230.TW,雷笛克光學,22.8,0,19,21.85,4.35,17,投連賣
2	,4919.TW,新唐,117,-2.09,4502,117,4.37,15,投連賣
3	,3675.TW,德微,168,2.75,1849,188,-8.54,11,投連賣
4	,6577.TW,勁豐,58.7,0,2,56.6,3.71,10,投連賣
5	,2640.TW,大車隊,86.4,1.17,61,76.8,17.65,9,投連賣
6	,3035.TW,智原,159,0.63,7973,174,-6.51,8,投連賣
7	,3707.TW,漢磊,86.9,0,3034,85,2.65,8,投連賣
8	,8046.TW,南電,242,-0.41,10124,251.5,-3.78,8,投連賣
9	,1477.TW,聚陽,238.5,0,510,147,62.24,7,投連賣
10	,1904.TW,正隆,27.15,-1.09,381,25.9,4.83,7,投連賣
11	,2606.TW,裕民,50.1,-3.47,10468,39.45,27,7,投連賣
12	,3006.TW,晶豪科,66.2,0,3117,79.2,-16.41,7,投連賣
13	,3533.TW,嘉澤,829,0.36,375,596,42.58,7,投連賣
14	,5274.TW,信驊,1830,0.83,312,1710,7.02,7,投連賣
15	,6176.TW,瑞儀,106,0.47,1064,82.3,28.8,7,投連賣
16	,2351.TW,順德,99.5,1.22,927,93.2,9.55,6,投連賣
17	,2368.TW,金像電,88.4,-1.12,3685,69.6,15.8,6,投連賣
18	,3567.TW,逸昌,24.95,0.4,68,29.6,-7.97,6,投連賣
19	,3714.TW,富采,46.6,-0.96,1148,47.85,-2.61,6,投連賣
20	,4938.TW,和碩,64.2,0.31,3317,56.7,13.23,6,投連賣
21	,6138.TW,茂達,117.5,-0.42,755,133.5,-5.76,6,投連賣
22	,2006.TW,東和鋼鐵,53.2,0.95,1881,49.15,8.24,5,投連賣
23	,3017.TW,奇鋐,111,-1.77,2015,87.4,31.84,5,投連賣
24	,3653.TW,健策,369.5,-0.81,1389,287.5,44.32,5,投連賣
25	,4129.TW,聯合,50.6,2.64,2781,27.75,82.34,5,投連賣
26	,6187.TW,萬潤,65,0.93,810,75.7,-8.91,5,投連賣
27	,6683.TW,雍智科技,189.5,0.26,103,172,14.62,5,投連賣
