符合條件商品
資料日期：2022年  3月  9日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:45 符合檔數(10)
1	,3653.TW,健策,369.5,-0.81,1389,331.5,25.16,9,投連賣
2	,6488.TW,環球晶,435.5,-2.57,2065,629,-29.47,9,投連賣
3	,6706.TW,惠特,89.3,1.59,265,184.5,-47.43,9,投連賣
4	,3714.TW,富采,46.6,-0.96,1148,69.9,-30.89,8,投連賣
5	,3324.TW,雙鴻,151,-0.66,649,215,-27.17,7,投連賣
6	,5483.TW,中美晶,143.5,-1.37,3418,172.5,-14.14,7,投連賣
7	,6213.TW,聯茂,71.9,0.42,941,120.5,-36.38,7,投連賣
8	,1476.TW,儒鴻,492.5,1.23,1098,503,0.86,6,投連賣
9	,1477.TW,聚陽,238.5,0,510,207.5,20.92,5,投連賣
10	,2231.TW,為升,142,-2.07,335,142,10.79,5,投連賣
