符合條件商品
資料日期：2021年 11月 18日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:59 符合檔數(20)
1	,2317.TW,鴻海,101,0,15490,107,-0.74,15,投連賣
2	,3264.TW,欣銓,49.85,-0.89,1243,57.3,-7.82,14,投連賣
3	,2360.TW,致茂,179,0.56,783,187,0.06,13,投連賣
4	,3443.TW,創意,726,-0.55,5389,598,22.93,12,投連賣
5	,2308.TW,台達電,281,-1.92,5149,260,10.66,11,投連賣
6	,6732.TW,昇佳電子,220,-1.57,74,549,-56.74,9,投連賣
7	,6491.TW,晶碩,404.5,-1.94,432,460.5,-10.36,8,投連賣
8	,1722.TW,台肥,53.1,-0.56,1033,69,-19.63,6,投連賣
9	,1785.TW,光洋科,32.45,-1.52,600,52.9,-36.22,6,投連賣
10	,2303.TW,聯電,41.95,-2.1,34060,63.1,-29.21,6,投連賣
11	,3218.TW,大學光,290,0.17,438,284.5,9.06,6,投連賣
12	,8436.TW,大江,174.5,-3.32,9916,208,-10.76,6,投連賣
13	,8454.TW,富邦媒,626,0,570,1665,-54.1,6,投連賣
14	,1319.TW,東陽,41.05,0.37,2564,33.5,24.92,5,投連賣
15	,1477.TW,聚陽,238.5,0,510,237.5,5.65,5,投連賣
16	,2458.TW,義隆,86.1,-1.71,718,168.5,-42.26,5,投連賣
17	,5425.TW,台半,75.3,0,4216,80.9,-3.94,5,投連賣
18	,5871.TW,中租-KY,216.5,0.46,2711,253.5,-7.86,5,投連賣
19	,6147.TW,頎邦,58.6,0.51,604,67.2,-3.09,5,投連賣
20	,8046.TW,南電,242,-0.41,10124,548,-54.26,5,投連賣
