符合條件商品
資料日期：2022年  7月  6日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(29)
1	,5230.TW,雷笛克光學,22.8,0,19,21.75,4.83,16,投連賣
2	,4919.TW,新唐,117,-2.09,4502,112.5,8.54,14,投連賣
3	,3675.TW,德微,168,2.75,1849,176.5,-2.58,10,投連賣
4	,6577.TW,勁豐,58.7,0,2,56.5,3.89,9,投連賣
5	,2640.TW,大車隊,86.4,1.17,61,76.3,18.42,8,投連賣
6	,3044.TW,健鼎,96,1.59,1391,100,2.72,8,投連賣
7	,3035.TW,智原,159,0.63,7973,160.5,1.35,7,投連賣
8	,3037.TW,欣興,125,2.46,35224,147.5,-13.33,7,投連賣
9	,3707.TW,漢磊,86.9,0,3034,83.5,4.48,7,投連賣
10	,5425.TW,台半,75.3,0,4216,60.9,27.61,7,投連賣
11	,6669.TW,緯穎,819,-1.33,686,617,32.74,7,投連賣
12	,8046.TW,南電,242,-0.41,10124,243,-0.41,7,投連賣
13	,1477.TW,聚陽,238.5,0,510,142,67.96,6,投連賣
14	,1560.TW,中砂,109.5,-1.35,2814,132.5,-15.52,6,投連賣
15	,1904.TW,正隆,27.15,-1.09,381,25.7,5.64,6,投連賣
16	,2606.TW,裕民,50.1,-3.47,10468,39.05,28.3,6,投連賣
17	,3006.TW,晶豪科,66.2,0,3117,76.9,-13.91,6,投連賣
18	,3443.TW,創意,726,-0.55,5389,435.5,66.7,6,投連賣
19	,3529.TW,力旺,1350,1.12,770,924,46.1,6,投連賣
20	,3533.TW,嘉澤,829,0.36,375,587,44.77,6,投連賣
21	,5274.TW,信驊,1830,0.83,312,1610,13.66,6,投連賣
22	,6176.TW,瑞儀,106,0.47,1064,82,29.27,6,投連賣
23	,2345.TW,智邦,237.5,-6.5,4085,208,16.95,5,投連賣
24	,2351.TW,順德,99.5,1.22,927,91.2,11.95,5,投連賣
25	,2368.TW,金像電,88.4,-1.12,3685,67.8,18.88,5,投連賣
26	,3567.TW,逸昌,24.95,0.4,68,29.2,-6.69,5,投連賣
27	,3714.TW,富采,46.6,-0.96,1148,45.65,2.08,5,投連賣
28	,4938.TW,和碩,64.2,0.31,3317,55.1,16.52,5,投連賣
29	,6138.TW,茂達,117.5,-0.42,755,129.5,-2.84,5,投連賣
