符合條件商品
資料日期：2021年 12月  9日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:55 符合檔數(25)
1	,3661.TW,世芯-KY,803,-1.35,2950,993,-18.11,19,投連賣
2	,6510.TW,精測,490.5,-1.21,161,652,-21.96,13,投連賣
3	,3189.TW,景碩,107,0,9581,229.5,-51.93,11,投連賣
4	,3152.TW,璟德,179.5,-0.28,16,343.5,-45.28,9,投連賣
5	,5439.TW,高技,46.85,0,102,59.8,-14.52,8,投連賣
6	,2317.TW,鴻海,101,0,15490,106,0.2,7,投連賣
7	,2458.TW,義隆,86.1,-1.71,718,160,-39.19,7,投連賣
8	,3042.TW,晶技,83,0.73,539,100.5,-9.99,7,投連賣
9	,4966.TW,譜瑞-KY,825,0.86,553,1920,-55.84,7,投連賣
10	,1434.TW,福懋,26.3,-0.19,479,29.1,-6.07,6,投連賣
11	,2233.TW,宇隆,99.5,0.3,88,95,9.85,6,投連賣
12	,2324.TW,仁寶,22.95,0.44,9576,24,3.8,6,投連賣
13	,2356.TW,英業達,26,0.19,6530,25.65,7.66,6,投連賣
14	,2404.TW,漢唐,182,-2.41,755,174,13.37,6,投連賣
15	,2542.TW,興富發,40.35,-3.93,8630,46.5,4.21,6,投連賣
16	,2809.TW,京城銀,33.9,-3.42,3989,40.15,-10.67,6,投連賣
17	,2915.TW,潤泰全,66.7,0.15,4192,97,-25.46,6,投連賣
18	,3045.TW,台灣大,94.8,0,2514,98.8,-0.07,6,投連賣
19	,3702.TW,大聯大,47.8,-0.52,2583,50.2,1.98,6,投連賣
20	,4938.TW,和碩,64.2,0.31,3317,68,2.05,6,投連賣
21	,5522.TW,遠雄,58.5,0.34,1205,65,0.21,6,投連賣
22	,1702.TW,南僑,44.8,-0.88,73,49.1,-4.36,5,投連賣
23	,3264.TW,欣銓,49.85,-0.89,1243,55.7,-5.17,5,投連賣
24	,3481.TW,群創,11.1,0,42046,19.05,-36.54,5,投連賣
25	,4919.TW,新唐,117,-2.09,4502,141,-13.4,5,投連賣
