符合條件商品
資料日期：2021年 12月 29日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/29),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:52 符合檔數(33)
1	,1702.TW,南僑,44.8,-0.88,73,50.1,-6.26,19,投連賣
2	,3653.TW,健策,369.5,-0.81,1389,399.5,3.86,16,投連賣
3	,2345.TW,智邦,237.5,-6.5,4085,259.5,-6.26,11,投連賣
4	,2360.TW,致茂,179,0.56,783,203.5,-8.05,11,投連賣
5	,2383.TW,台光電,176.5,-0.84,2034,279.5,-32.98,11,投連賣
6	,2317.TW,鴻海,101,0,15490,105,1.15,10,投連賣
7	,2352.TW,佳世達,27.5,1.66,4573,30.25,-1.01,10,投連賣
8	,2377.TW,微星,119.5,1.7,2513,162,-19.62,10,投連賣
9	,2492.TW,華新科,78.7,-1.38,848,166.5,-50.35,10,投連賣
10	,4958.TW,臻鼎-KY,108,-1.37,2633,102,10.87,9,投連賣
11	,6411.TW,晶焱,85.7,-0.35,289,243,-62.32,9,投連賣
12	,2354.TW,鴻準,51.4,-1.15,1092,64.9,-17.83,8,投連賣
13	,3264.TW,欣銓,49.85,-0.89,1243,55.7,-5.17,8,投連賣
14	,4904.TW,遠傳,65.7,-0.3,2525,64.6,5.85,7,投連賣
15	,1513.TW,中興電,66,0.15,12515,45.35,53.38,6,投連賣
16	,1605.TW,華新,46.75,-1.68,42087,26.5,83.62,6,投連賣
17	,1723.TW,中碳,105.5,-0.47,103,118.5,-7.79,6,投連賣
18	,2105.TW,正新,33.75,-0.74,1203,36.55,-4.45,6,投連賣
19	,2303.TW,聯電,41.95,-2.1,34060,65,-31.27,6,投連賣
20	,2308.TW,台達電,281,-1.92,5149,278,3.49,6,投連賣
21	,2408.TW,南亞科,51.4,-0.58,5241,76.6,-28.24,6,投連賣
22	,3019.TW,亞光,61.6,-1.28,472,93.6,-29.54,6,投連賣
23	,4999.TW,鑫禾,36.75,-0.41,56,41.3,-5.55,6,投連賣
24	,5425.TW,台半,75.3,0,4216,78.2,-0.62,6,投連賣
25	,6288.TW,聯嘉,22.85,-0.44,665,28,-16.97,6,投連賣
26	,8046.TW,南電,242,-0.41,10124,569,-55.95,6,投連賣
27	,9933.TW,中鼎,41.85,0.6,916,37.25,18.32,6,投連賣
28	,3045.TW,台灣大,94.8,0,2514,100.5,-1.76,5,投連賣
29	,4919.TW,新唐,117,-2.09,4502,142,-14.01,5,投連賣
30	,5274.TW,信驊,1830,0.83,312,3460,-40.95,5,投連賣
31	,6147.TW,頎邦,58.6,0.51,604,66.4,-1.92,5,投連賣
32	,6239.TW,力成,81.3,0.62,1926,99.1,-11.29,5,投連賣
33	,9938.TW,百和,59,4.8,4688,81.3,-22.87,5,投連賣
