符合條件商品
資料日期：2022年 10月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:19 符合檔數(10)
1	,2618.TW,長榮航,28.1,-2.09,27994,28,0.36,7,投連賣
2	,3374.TW,精材,99.5,-1.49,1508,91,9.34,7,投連賣
3	,6477.TW,安集,45.15,0.22,708,43.2,4.51,7,投連賣
4	,1565.TW,精華,244,0.21,46,225,8.44,6,投連賣
5	,2227.TW,裕日車,191,-2.05,32,188.5,1.33,6,投連賣
6	,3406.TW,玉晶光,364,-0.68,820,334,8.98,6,投連賣
7	,3567.TW,逸昌,24.95,0.4,68,26.05,-4.22,6,投連賣
8	,5483.TW,中美晶,143.5,-1.37,3418,129,11.24,5,投連賣
9	,6274.TW,台燿,52.5,1.16,910,43.6,20.41,5,投連賣
10	,8155.TW,博智,108,-1.37,385,95.5,13.09,5,投連賣
