符合條件商品
資料日期：2022年 11月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:15 符合檔數(12)
1	,5439.TW,高技,46.85,0,102,40.8,14.83,16,投連賣
2	,3567.TW,逸昌,24.95,0.4,68,23.85,4.61,13,投連賣
3	,3131.TW,弘塑,225,-0.88,34,184.5,21.95,11,投連賣
4	,3665.TW,貿聯-KY,251,-2.33,1391,255,-1.57,8,投連賣
5	,1589.TW,永冠-KY,55.5,-1.25,81,51,8.82,7,投連賣
6	,3293.TW,鈊象,425.5,-0.23,3602,362.5,17.38,7,投連賣
7	,3346.TW,麗清,38,1.88,1028,29.95,26.88,7,投連賣
8	,5009.TW,榮剛,37.5,-0.66,11974,28.65,30.89,7,投連賣
9	,3081.TW,聯亞,110.5,-0.9,1673,92.6,19.33,5,投連賣
10	,3289.TW,宜特,77.8,1.7,3592,75.5,3.05,5,投連賣
11	,4966.TW,譜瑞-KY,825,0.86,553,620,33.06,5,投連賣
12	,6146.TW,耕興,231,2.21,247,202,14.36,5,投連賣
