符合條件商品
資料日期：2022年  8月 30日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/30),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:24 符合檔數(11)
1	,3596.TW,智易,98.3,-0.2,490,112,-12.23,15,投連賣
2	,1795.TW,美時,232,0.22,11755,174,33.33,8,投連賣
3	,2317.TW,鴻海,101,0,15490,108.5,-6.91,8,投連賣
4	,3037.TW,欣興,125,2.46,35224,153,-18.3,7,投連賣
5	,2233.TW,宇隆,99.5,0.3,88,111,-10.36,6,投連賣
6	,2732.TW,六角,126,0.8,213,102.5,25.37,6,投連賣
7	,4958.TW,臻鼎-KY,108,-1.37,2633,113.5,-4.85,6,投連賣
8	,6472.TW,保瑞,406.5,-2.28,4588,345,17.83,6,投連賣
9	,6679.TW,鈺太,229,0.44,465,232.5,-1.51,6,投連賣
10	,2912.TW,統一超,268,-1.47,996,271.5,-1.29,5,投連賣
11	,3017.TW,奇鋐,111,-1.77,2015,107.5,3.26,5,投連賣
