符合條件商品
資料日期：2022年 11月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:15 符合檔數(13)
1	,5439.TW,高技,46.85,0,102,40,17.13,14,投連賣
2	,6491.TW,晶碩,404.5,-1.94,432,281.5,43.69,12,投連賣
3	,3567.TW,逸昌,24.95,0.4,68,23.55,5.94,11,投連賣
4	,3131.TW,弘塑,225,-0.88,34,183,22.95,9,投連賣
5	,3596.TW,智易,98.3,-0.2,490,90,9.22,8,投連賣
6	,3665.TW,貿聯-KY,251,-2.33,1391,250,0.4,6,投連賣
7	,1589.TW,永冠-KY,55.5,-1.25,81,50.5,9.9,5,投連賣
8	,2392.TW,正崴,36.85,-0.94,578,34.1,8.06,5,投連賣
9	,2497.TW,怡利電,72.9,-0.82,961,64.3,13.37,5,投連賣
10	,3293.TW,鈊象,425.5,-0.23,3602,357.5,19.02,5,投連賣
11	,3346.TW,麗清,38,1.88,1028,29.35,29.47,5,投連賣
12	,3481.TW,群創,11.1,0,42046,12.4,-10.48,5,投連賣
13	,5009.TW,榮剛,37.5,-0.66,11974,28.5,31.58,5,投連賣
