符合條件商品
資料日期：2022年 12月 19日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/19),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:07 符合檔數(25)
1	,3037.TW,欣興,125,2.46,35224,140.5,-11.03,10,投連賣
2	,1102.TW,亞泥,41.55,0.24,6062,41.3,0.61,7,投連賣
3	,2441.TW,超豐,48.2,-2.33,4006,50,-3.6,7,投連賣
4	,2449.TW,京元電子,36.4,-1.75,4505,37.5,-2.93,7,投連賣
5	,2454.TW,聯發科,660,-0.15,2431,656,0.61,7,投連賣
6	,2609.TW,陽明,67.3,-1.03,57425,64.3,4.67,7,投連賣
7	,3036.TW,文曄,62.7,-0.95,1327,64.2,-2.34,7,投連賣
8	,4938.TW,和碩,64.2,0.31,3317,63.8,0.63,7,投連賣
9	,5522.TW,遠雄,58.5,0.34,1205,57.3,2.09,7,投連賣
10	,1215.TW,卜蜂,78.3,0.77,1049,77.8,0.64,6,投連賣
11	,1232.TW,大統益,141.5,-0.35,131,142,-0.35,6,投連賣
12	,2360.TW,致茂,179,0.56,783,180.5,-0.83,6,投連賣
13	,3481.TW,群創,11.1,0,42046,11.2,-0.89,6,投連賣
14	,5274.TW,信驊,1830,0.83,312,1970,-7.11,6,投連賣
15	,6202.TW,盛群,67.6,0,761,68.4,-1.17,6,投連賣
16	,1304.TW,台聚,22.1,1.61,6105,21.1,4.74,5,投連賣
17	,1717.TW,長興,31.5,-1.25,930,31.85,-1.1,5,投連賣
18	,2106.TW,建大,30.15,0,347,30.15,0,5,投連賣
19	,2352.TW,佳世達,27.5,1.66,4573,27,1.85,5,投連賣
20	,2409.TW,友達,15.4,0.65,36394,14.95,3.01,5,投連賣
21	,3567.TW,逸昌,24.95,0.4,68,25.2,-0.99,5,投連賣
22	,4945.TW,陞達科技,46.75,-2.6,16,48.1,-2.81,5,投連賣
23	,5220.TW,萬達光電,28.2,-0.88,20,28.55,-1.23,5,投連賣
24	,5483.TW,中美晶,143.5,-1.37,3418,153.5,-6.51,5,投連賣
25	,6121.TW,新普,288.5,-0.35,276,294,2.76,5,投連賣
