符合條件商品
資料日期：2021年 12月 14日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/14),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:54 符合檔數(20)
1	,3189.TW,景碩,107,0,9581,220,-49.85,14,投連賣
2	,4966.TW,譜瑞-KY,825,0.86,553,1875,-54.78,10,投連賣
3	,1434.TW,福懋,26.3,-0.19,479,28.9,-5.43,9,投連賣
4	,2324.TW,仁寶,22.95,0.44,9576,23.85,4.46,9,投連賣
5	,2356.TW,英業達,26,0.19,6530,25.5,8.29,9,投連賣
6	,2542.TW,興富發,40.35,-3.93,8630,46.5,4.21,9,投連賣
7	,2809.TW,京城銀,33.9,-3.42,3989,39.6,-9.43,9,投連賣
8	,2915.TW,潤泰全,66.7,0.15,4192,92.5,-21.83,9,投連賣
9	,3702.TW,大聯大,47.8,-0.52,2583,50.5,1.38,9,投連賣
10	,5522.TW,遠雄,58.5,0.34,1205,64.2,1.46,9,投連賣
11	,1702.TW,南僑,44.8,-0.88,73,49.05,-4.25,8,投連賣
12	,1909.TW,榮成,15.55,-0.32,1849,23.6,-28.8,7,投連賣
13	,3443.TW,創意,726,-0.55,5389,585,25.66,7,投連賣
14	,3707.TW,漢磊,86.9,0,3034,133.5,-34.65,7,投連賣
15	,8046.TW,南電,242,-0.41,10124,556,-54.92,7,投連賣
16	,5285.TW,界霖,61.2,0,133,102,-36.76,6,投連賣
17	,6138.TW,茂達,117.5,-0.42,755,230.5,-45.42,6,投連賣
18	,3653.TW,健策,369.5,-0.81,1389,405.5,2.32,5,投連賣
19	,5269.TW,祥碩,717,0.14,564,1785,-58.71,5,投連賣
20	,8086.TW,宏捷科,67.7,1.04,620,139.5,-49.47,5,投連賣
