符合條件商品
資料日期：2022年 12月  7日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(11)
1	,1101.TW,台泥,34.05,-1.16,23484,33.35,2.1,12,投連賣
2	,5904.TW,寶雅,447.5,-0.33,243,470,-4.79,11,投連賣
3	,2317.TW,鴻海,101,0,15490,102,-0.98,10,投連賣
4	,8299.TW,群聯,305,-0.81,792,303,4.01,9,投連賣
5	,3533.TW,嘉澤,829,0.36,375,857,-3.27,8,投連賣
6	,2615.TW,萬海,86.2,-1.15,55180,69.1,24.75,6,投連賣
7	,3217.TW,優群,80.7,0.37,119,82.9,-2.65,6,投連賣
8	,5340.TW,建榮,25.25,-0.79,22,24.8,1.81,6,投連賣
9	,2382.TW,廣達,71.2,-0.97,4354,71.5,-0.42,5,投連賣
10	,4551.TW,智伸科,146,-0.68,691,153,-4.58,5,投連賣
11	,6679.TW,鈺太,229,0.44,465,214,7.01,5,投連賣
