符合條件商品
資料日期：2022年  4月 26日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/26),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:40 符合檔數(42)
1	,8299.TW,群聯,305,-0.81,792,393,-16.19,15,投連賣
2	,1531.TW,高林股,13.95,-0.36,46,14.9,-1.83,12,投連賣
3	,1817.TW,凱撒衛,37.9,0.4,40,35.1,14.54,12,投連賣
4	,2236.TW,百達-KY,23.6,0.43,223,26.05,3.37,12,投連賣
5	,8433.TW,弘帆,62.4,0.32,14,43.45,50.36,12,投連賣
6	,5284.TW,jpp-KY,68.8,-2.41,2843,44,64.51,11,投連賣
7	,5439.TW,高技,46.85,0,102,50.5,1.21,11,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,531,-16.45,11,投連賣
9	,2338.TW,光罩,86.3,0.94,3470,74.7,18.58,8,投連賣
10	,3141.TW,晶宏,79.9,0.63,950,132,-37.14,8,投連賣
11	,6781.TW,AES-KY,680,1.34,965,911,-24.26,8,投連賣
12	,8255.TW,朋程,177,5.04,12777,170,7.18,8,投連賣
13	,6187.TW,萬潤,65,0.93,810,104.5,-34.02,7,投連賣
14	,2006.TW,東和鋼鐵,53.2,0.95,1881,64,-16.87,6,投連賣
15	,2027.TW,大成鋼,43.15,-1.93,15303,46.2,-0.71,6,投連賣
16	,2376.TW,技嘉,106.5,1.43,5227,108.5,12.83,6,投連賣
17	,2458.TW,義隆,86.1,-1.71,718,150.5,-35.35,6,投連賣
18	,3036.TW,文曄,62.7,-0.95,1327,72.8,-7.9,6,投連賣
19	,3324.TW,雙鴻,151,-0.66,649,160,-2.14,6,投連賣
20	,3481.TW,群創,11.1,0,42046,13.95,-13.35,6,投連賣
21	,6116.TW,彩晶,11.1,0.91,3518,13.05,-7.88,6,投連賣
22	,6679.TW,鈺太,229,0.44,465,351.5,-33.3,6,投連賣
23	,1440.TW,南紡,17.3,-1.42,812,20.85,-13.15,5,投連賣
24	,2002.TW,中鋼,30.7,0.16,37216,36.1,-5.6,5,投連賣
25	,2108.TW,南帝,38.2,-0.26,608,53.9,-29.13,5,投連賣
26	,2347.TW,聯強,61,-0.81,2957,76.5,-14.13,5,投連賣
27	,2382.TW,廣達,71.2,-0.97,4354,83.9,-7.95,5,投連賣
28	,2409.TW,友達,15.4,0.65,36394,17,-10.15,5,投連賣
29	,2542.TW,興富發,40.35,-3.93,8630,47.2,2.65,5,投連賣
30	,2615.TW,萬海,86.2,-1.15,55180,145,-25.68,5,投連賣
31	,3008.TW,大立光,2140,0,324,1655,31.81,5,投連賣
32	,3042.TW,晶技,83,0.73,539,90.9,-0.48,5,投連賣
33	,3443.TW,創意,726,-0.55,5389,391,88,5,投連賣
34	,3515.TW,華擎,140.5,2.93,1979,167,-4.23,5,投連賣
35	,3529.TW,力旺,1350,1.12,770,1105,23.66,5,投連賣
36	,3624.TW,光頡,40.35,0.62,414,71.5,-41.16,5,投連賣
37	,5269.TW,祥碩,717,0.14,564,1400,-47.36,5,投連賣
38	,6271.TW,同欣電,201,-4.29,2372,237,-19.42,5,投連賣
39	,6548.TW,長科*,29.95,0,316,92.6,-15.68,5,投連賣
40	,8046.TW,南電,242,-0.41,10124,406,-38.26,5,投連賣
41	,8358.TW,金居,51.3,-0.58,1372,59.5,-5.18,5,投連賣
42	,8415.TW,大國鋼,38.35,-0.78,181,35.8,12.76,5,投連賣
