符合條件商品
資料日期：2022年  5月 18日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(10)
1	,5439.TW,高技,46.85,0,102,47.95,6.6,20,投連賣
2	,4536.TW,拓凱,189,-0.79,392,122.5,60.85,14,投連賣
3	,2002.TW,中鋼,30.7,0.16,37216,33.55,1.55,10,投連賣
4	,3665.TW,貿聯-KY,251,-2.33,1391,312,-17.04,9,投連賣
5	,2014.TW,中鴻,27.6,1.1,53751,33.45,-8.58,7,投連賣
6	,2606.TW,裕民,50.1,-3.47,10468,59.2,-9.24,7,投連賣
7	,2239.TW,英利-KY,59,-0.84,55,55,11.91,6,投連賣
8	,2618.TW,長榮航,28.1,-2.09,27994,31.75,-9.76,6,投連賣
9	,2610.TW,華航,19,-1.55,26392,25.35,-22.29,5,投連賣
10	,5340.TW,建榮,25.25,-0.79,22,27,-6.48,5,投連賣
