符合條件商品
資料日期：2022年  5月  9日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(14)
1	,1817.TW,凱撒衛,37.9,0.4,40,34.85,15.37,20,投連賣
2	,2236.TW,百達-KY,23.6,0.43,223,25.75,4.56,20,投連賣
3	,8433.TW,弘帆,62.4,0.32,14,43.25,51.05,20,投連賣
4	,5284.TW,jpp-KY,68.8,-2.41,2843,43.7,65.66,19,投連賣
5	,5439.TW,高技,46.85,0,102,48.25,5.95,19,投連賣
6	,5269.TW,祥碩,717,0.14,564,1300,-43.31,13,投連賣
7	,4536.TW,拓凱,189,-0.79,392,119,65.59,7,投連賣
8	,3406.TW,玉晶光,364,-0.68,820,345.5,7.47,6,投連賣
9	,5904.TW,寶雅,447.5,-0.33,243,309.5,50.45,6,投連賣
10	,6104.TW,創惟,88.8,0.23,2437,184.5,-51.87,6,投連賣
11	,2031.TW,新光鋼,44,-0.56,5573,58,-15.55,5,投連賣
12	,2458.TW,義隆,86.1,-1.71,718,142,-31.48,5,投連賣
13	,3491.TW,昇達科,136.5,1.11,719,136,3.36,5,投連賣
14	,6223.TW,旺矽,111.5,-3.46,3050,90.1,30.3,5,投連賣
