符合條件商品
資料日期：2022年 11月 16日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:11 符合檔數(21)
1	,2231.TW,為升,142,-2.07,335,135,5.19,11,投連賣
2	,3708.TW,上緯投控,94.6,-1.77,1112,93.2,1.5,10,投連賣
3	,3533.TW,嘉澤,829,0.36,375,805,2.98,9,投連賣
4	,1102.TW,亞泥,41.55,0.24,6062,40.5,2.59,8,投連賣
5	,2732.TW,六角,126,0.8,213,114.5,10.04,8,投連賣
6	,3036.TW,文曄,62.7,-0.95,1327,59.9,4.67,8,投連賣
7	,3289.TW,宜特,77.8,1.7,3592,81.5,-4.54,8,投連賣
8	,6176.TW,瑞儀,106,0.47,1064,103.5,2.42,8,投連賣
9	,2392.TW,正崴,36.85,-0.94,578,35.3,4.39,7,投連賣
10	,3546.TW,宇峻,76.1,0.66,226,71.1,7.03,7,投連賣
11	,5425.TW,台半,75.3,0,4216,77,-2.21,7,投連賣
12	,9939.TW,宏全,86.9,2.12,1021,80.4,8.08,7,投連賣
13	,2313.TW,華通,45.95,-1.08,9582,48.15,-4.57,6,投連賣
14	,6245.TW,立端,91.8,-7.09,8513,71.2,28.93,6,投連賣
15	,6669.TW,緯穎,819,-1.33,686,858,-4.55,6,投連賣
16	,8341.TW,日友,162.5,-7.41,2828,136,19.49,6,投連賣
17	,1402.TW,遠東新,31.55,-4.39,10632,31.5,0.16,5,投連賣
18	,1537.TW,廣隆,136.5,-0.36,24,136,0.37,5,投連賣
19	,2059.TW,川湖,395,-0.63,106,404.5,-2.35,5,投連賣
20	,2317.TW,鴻海,101,0,15490,101.5,-0.49,5,投連賣
21	,3665.TW,貿聯-KY,251,-2.33,1391,253,-0.79,5,投連賣
