符合條件商品
資料日期：2022年  5月 31日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/31),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:37 符合檔數(36)
1	,5439.TW,高技,46.85,0,102,49.65,2.94,20,投連賣
2	,2002.TW,中鋼,30.7,0.16,37216,34.65,-1.67,19,投連賣
3	,2354.TW,鴻準,51.4,-1.15,1092,54.6,-2.34,13,投連賣
4	,2387.TW,精元,39.25,-1.75,500,37.5,12.92,11,投連賣
5	,1817.TW,凱撒衛,37.9,0.4,40,34.8,15.55,10,投連賣
6	,2912.TW,統一超,268,-1.47,996,275.5,0.46,10,投連賣
7	,2409.TW,友達,15.4,0.65,36394,18,-15.15,9,投連賣
8	,6438.TW,迅得,86.2,-0.69,51,113,-19.27,8,投連賣
9	,3189.TW,景碩,107,0,9581,175,-36.95,7,投連賣
10	,4904.TW,遠傳,65.7,-0.3,2525,79.7,-14.21,7,投連賣
11	,5347.TW,世界,81.5,-1.69,3288,107,-18.85,7,投連賣
12	,8046.TW,南電,242,-0.41,10124,394.5,-36.46,7,投連賣
13	,8299.TW,群聯,305,-0.81,792,395.5,-16.72,7,投連賣
14	,1102.TW,亞泥,41.55,0.24,6062,44.4,1.34,6,投連賣
15	,1216.TW,統一,65.9,0,2803,67.4,1.79,6,投連賣
16	,2049.TW,上銀,180,-0.83,411,225,-18.4,6,投連賣
17	,2347.TW,聯強,61,-0.81,2957,70.3,-6.57,6,投連賣
18	,2408.TW,南亞科,51.4,-0.58,5241,66.8,-17.72,6,投連賣
19	,2458.TW,義隆,86.1,-1.71,718,149,-34.7,6,投連賣
20	,2834.TW,臺企銀,12.9,-0.39,8238,12.3,9.6,6,投連賣
21	,2883.TW,開發金,12.7,-0.78,8936,16.2,-15.67,6,投連賣
22	,2890.TW,永豐金,16.7,-4.84,27291,18.15,-2.68,6,投連賣
23	,2892.TW,第一金,26.3,-0.38,6392,27.35,1.86,6,投連賣
24	,5230.TW,雷笛克光學,22.8,0,19,24.1,-2.15,6,投連賣
25	,9904.TW,寶成,34.05,0.44,6898,31.3,14.8,6,投連賣
26	,9910.TW,豐泰,207.5,-1.19,2962,190,11.82,6,投連賣
27	,1303.TW,南亞,70.3,-1.54,4616,85.3,-9.13,5,投連賣
28	,1402.TW,遠東新,31.55,-4.39,10632,30.5,8.57,5,投連賣
29	,2301.TW,光寶科,64,-0.47,4678,63.2,3.54,5,投連賣
30	,2886.TW,兆豐金,30.55,-0.97,8425,38.75,-16.03,5,投連賣
31	,2891.TW,中信金,21.9,-1.13,23817,27.15,-14.79,5,投連賣
32	,3035.TW,智原,159,0.63,7973,240.5,-32.36,5,投連賣
33	,3037.TW,欣興,125,2.46,35224,215.5,-40.68,5,投連賣
34	,3045.TW,台灣大,94.8,0,2514,108,-8.58,5,投連賣
35	,3413.TW,京鼎,183.5,-1.61,306,222.5,-13.63,5,投連賣
36	,3455.TW,由田,80.3,-0.25,313,84,1.66,5,投連賣
