符合條件商品
資料日期：2022年  7月 29日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/29),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:28 符合檔數(12)
1	,2640.TW,大車隊,86.4,1.17,61,78,10.77,13,投連賣
2	,4129.TW,聯合,50.6,2.64,2781,29.9,69.23,13,投連賣
3	,6288.TW,聯嘉,22.85,-0.44,665,23.05,-0.87,10,投連賣
4	,6187.TW,萬潤,65,0.93,810,76.5,-15.03,8,投連賣
5	,1476.TW,儒鴻,492.5,1.23,1098,408,20.71,7,投連賣
6	,1560.TW,中砂,109.5,-1.35,2814,157,-30.25,7,投連賣
7	,3567.TW,逸昌,24.95,0.4,68,28,-10.89,7,投連賣
8	,5269.TW,祥碩,717,0.14,564,973,-24.26,6,投連賣
9	,3105.TW,穩懋,138,0.36,2757,159,-13.21,5,投連賣
10	,3529.TW,力旺,1350,1.12,770,1185,13.92,5,投連賣
11	,6121.TW,新普,288.5,-0.35,276,264,14.43,5,投連賣
12	,8155.TW,博智,108,-1.37,385,108.5,-0.46,5,投連賣
