符合條件商品
資料日期：2022年  1月 18日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:50 符合檔數(26)
1	,2303.TW,聯電,41.95,-2.1,34060,63.8,-29.99,19,投連賣
2	,2912.TW,統一超,268,-1.47,996,269,2.88,17,投連賣
3	,8924.TW,大田,120.5,0.42,199,144.5,-7.41,11,投連賣
4	,4961.TW,天鈺,117,0.86,1402,224,-39.94,10,投連賣
5	,6005.TW,群益證,11.1,0,1344,16.9,-24.49,10,投連賣
6	,2889.TW,國票金,11.35,0,2314,16.25,-23.52,8,投連賣
7	,3529.TW,力旺,1350,1.12,770,1755,-22.14,8,投連賣
8	,1504.TW,東元,27.25,-0.37,1749,30.6,-6.71,7,投連賣
9	,1558.TW,伸興,120,0,27,143.5,-10.93,7,投連賣
10	,1904.TW,正隆,27.15,-1.09,381,34.8,-16.69,7,投連賣
11	,2352.TW,佳世達,27.5,1.66,4573,31,-3.41,7,投連賣
12	,2603.TW,長榮,167.5,-2.33,36972,127,-31.68,7,投連賣
13	,2838.TW,聯邦銀,16.1,-0.92,465,14.75,19.97,7,投連賣
14	,2855.TW,統一證,15.85,0,341,23.1,-23.1,7,投連賣
15	,6457.TW,紘康,62.5,-1.26,183,168.5,-57.44,7,投連賣
16	,1103.TW,嘉泥,17.5,-0.57,92,20.2,-10.12,6,投連賣
17	,1215.TW,卜蜂,78.3,0.77,1049,81.6,9.65,6,投連賣
18	,2404.TW,漢唐,182,-2.41,755,184.5,6.93,6,投連賣
19	,2633.TW,台灣高鐵,28.75,-0.52,2418,29.15,1.38,6,投連賣
20	,8926.TW,台汽電,32.2,-0.46,354,37.3,-9.45,6,投連賣
21	,9917.TW,中保科,99.6,1.32,404,101.5,3.01,6,投連賣
22	,1605.TW,華新,46.75,-1.68,42087,26.3,85.08,5,投連賣
23	,3008.TW,大立光,2140,0,324,2105,5.68,5,投連賣
24	,3406.TW,玉晶光,364,-0.68,820,487,-23.76,5,投連賣
25	,4551.TW,智伸科,146,-0.68,691,159,-5.29,5,投連賣
26	,6683.TW,雍智科技,189.5,0.26,103,294,-32.94,5,投連賣
