符合條件商品
資料日期：2022年  7月  4日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(18)
1	,5230.TW,雷笛克光學,22.8,0,19,21.6,5.56,14,投連賣
2	,4919.TW,新唐,117,-2.09,4502,122,0.09,12,投連賣
3	,2062.TW,橋椿,22.35,-0.22,124,22.3,2.57,10,投連賣
4	,3526.TW,凡甲,117.5,-0.42,125,131.5,-3.72,10,投連賣
5	,3675.TW,德微,168,2.75,1849,193,-10.91,8,投連賣
6	,1722.TW,台肥,53.1,-0.56,1033,62.1,-10.7,7,投連賣
7	,6577.TW,勁豐,58.7,0,2,57,2.98,7,投連賣
8	,2603.TW,長榮,167.5,-2.33,36972,82.5,-12.27,6,投連賣
9	,2640.TW,大車隊,86.4,1.17,61,77.6,16.43,6,投連賣
10	,3044.TW,健鼎,96,1.59,1391,105.5,-2.64,6,投連賣
11	,3035.TW,智原,159,0.63,7973,172.5,-5.7,5,投連賣
12	,3037.TW,欣興,125,2.46,35224,149,-14.21,5,投連賣
13	,3189.TW,景碩,107,0,9581,130.5,-15.46,5,投連賣
14	,3707.TW,漢磊,86.9,0,3034,90.9,-4.02,5,投連賣
15	,5425.TW,台半,75.3,0,4216,62,25.35,5,投連賣
16	,6213.TW,聯茂,71.9,0.42,941,68.9,4.35,5,投連賣
17	,6669.TW,緯穎,819,-1.33,686,650,26,5,投連賣
18	,8046.TW,南電,242,-0.41,10124,244,-0.82,5,投連賣
