符合條件商品
資料日期：2022年  8月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:27 符合檔數(10)
1	,2640.TW,大車隊,86.4,1.17,61,77.3,11.77,16,投連賣
2	,6187.TW,萬潤,65,0.93,810,71.1,-8.58,11,投連賣
3	,3529.TW,力旺,1350,1.12,770,1130,19.47,8,投連賣
4	,6121.TW,新普,288.5,-0.35,276,256.5,17.78,8,投連賣
5	,2455.TW,全新,67,0,1464,67.7,-1.03,7,投連賣
6	,6143.TW,振曜,66.9,0.45,825,47.95,46.42,7,投連賣
7	,6146.TW,耕興,231,2.21,247,203,13.79,7,投連賣
8	,5439.TW,高技,46.85,0,102,39.95,17.27,6,投連賣
9	,3037.TW,欣興,125,2.46,35224,147.5,-15.25,5,投連賣
10	,3189.TW,景碩,107,0,9581,124,-13.71,5,投連賣
