符合條件商品
資料日期：2022年  5月 12日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/12),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(16)
1	,2236.TW,百達-KY,23.6,0.43,223,25.45,5.78,20,投連賣
2	,5284.TW,jpp-KY,68.8,-2.41,2843,43,68.34,20,投連賣
3	,5439.TW,高技,46.85,0,102,45.9,11.36,20,投連賣
4	,8433.TW,弘帆,62.4,0.32,14,47.85,36.54,20,投連賣
5	,4536.TW,拓凱,189,-0.79,392,119.5,64.89,10,投連賣
6	,6104.TW,創惟,88.8,0.23,2437,183.5,-51.61,9,投連賣
7	,2031.TW,新光鋼,44,-0.56,5573,50,-2.03,8,投連賣
8	,3491.TW,昇達科,136.5,1.11,719,130.5,7.72,8,投連賣
9	,6679.TW,鈺太,229,0.44,465,301.5,-22.24,7,投連賣
10	,2002.TW,中鋼,30.7,0.16,37216,33.2,2.64,6,投連賣
11	,2891.TW,中信金,21.9,-1.13,23817,26.05,-11.19,6,投連賣
12	,6443.TW,元晶,34.1,1.19,7879,35.15,-2.99,6,投連賣
13	,1722.TW,台肥,53.1,-0.56,1033,68.2,-18.68,5,投連賣
14	,3665.TW,貿聯-KY,251,-2.33,1391,310,-16.51,5,投連賣
15	,6756.TW,威鋒電子,191,-2.05,282,277.5,-31.17,5,投連賣
16	,8299.TW,群聯,305,-0.81,792,370,-10.98,5,投連賣
