符合條件商品
資料日期：2022年  6月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(24)
1	,5439.TW,高技,46.85,0,102,49,4.32,20,投連賣
2	,8046.TW,南電,242,-0.41,10124,365,-31.33,12,投連賣
3	,2458.TW,義隆,86.1,-1.71,718,149,-34.7,11,投連賣
4	,2890.TW,永豐金,16.7,-4.84,27291,17.6,0.36,11,投連賣
5	,5230.TW,雷笛克光學,22.8,0,19,24.4,-3.35,11,投連賣
6	,9904.TW,寶成,34.05,0.44,6898,31.9,12.64,11,投連賣
7	,3035.TW,智原,159,0.63,7973,222.5,-26.89,10,投連賣
8	,2344.TW,華邦電,20.1,-0.99,9528,28.8,-27.52,9,投連賣
9	,6147.TW,頎邦,58.6,0.51,604,69.8,-6.7,9,投連賣
10	,9958.TW,世紀鋼,88.9,-1.22,9352,113.5,-18.66,9,投連賣
11	,1308.TW,亞聚,28.2,-0.88,1358,29.5,6.62,8,投連賣
12	,2393.TW,億光,37.5,0.94,242,44.9,-8.67,7,投連賣
13	,9939.TW,宏全,86.9,2.12,1021,76.5,20.61,7,投連賣
14	,1722.TW,台肥,53.1,-0.56,1033,69,-19.63,6,投連賣
15	,2014.TW,中鴻,27.6,1.1,53751,33.15,-7.75,6,投連賣
16	,5284.TW,jpp-KY,68.8,-2.41,2843,43.45,66.59,6,投連賣
17	,6285.TW,啟碁,80.8,-2.3,4232,65.1,28.11,6,投連賣
18	,2330.TW,台積電,455,-2.78,26724,544,-14.93,5,投連賣
19	,2449.TW,京元電子,36.4,-1.75,4505,46.1,-14.73,5,投連賣
20	,2882.TW,國泰金,41.15,1.86,33982,54.8,-19.22,5,投連賣
21	,3217.TW,優群,80.7,0.37,119,89.6,-2.6,5,投連賣
22	,4162.TW,智擎,118.5,-2.07,10092,71.6,70.77,5,投連賣
23	,6443.TW,元晶,34.1,1.19,7879,36.15,-5.67,5,投連賣
24	,8104.TW,錸寶,35.2,-0.42,113,47.85,-22.76,5,投連賣
