符合條件商品
資料日期：2021年 12月  8日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-09 01:06 符合檔數(1586)
1	,1101.TW,台泥,47.7,0.32,10432,0,13,12,5
2	,1102.TW,亞泥,43.5,0.58,5709,0,12,8,10
3	,1103.TW,嘉泥,20.5,0.24,424,0,1,0,7
4	,1104.TW,環泥,21.4,-0.23,158,0,0,0,10
5	,1108.TW,幸福,11.5,0.88,114,3,0,0,12
6	,1109.TW,信大,20.1,0.5,384,0,1,0,8
7	,1110.TW,東泥,19.95,0.25,234,3,0,0,9
8	,1201.TW,味全,22.25,0.45,608,0,0,0,11
9	,1203.TW,味王,32.8,-0.15,33,1,0,0,9
10	,1210.TW,大成,52.7,0.38,787,0,4,9,8
11	,1213.TW,大飲,8.29,-3.49,31,2,0,0,18
12	,1215.TW,卜蜂,80.1,0,500,0,4,2,12
13	,1216.TW,統一,68.4,-0.15,6466,0,11,7,15
14	,1217.TW,愛之味,10.5,0.96,1451,5,0,0,5
15	,1218.TW,泰山,27,0.19,233,0,3,1,11
16	,1219.TW,福壽,20.05,0,496,2,0,0,9
17	,1220.TW,台榮,15.2,-0.33,267,1,0,0,5
18	,1225.TW,福懋油,50.6,0.6,74,3,0,0,11
19	,1227.TW,佳格,51.1,-0.2,903,0,6,4,9
20	,1229.TW,聯華,57.4,0.17,667,0,8,2,8
21	,1231.TW,聯華食,68.9,0,122,1,1,0,11
22	,1232.TW,大統益,160,0.31,150,1,1,1,13
23	,1233.TW,天仁,33.95,0.15,11,0,0,0,15
24	,1234.TW,黑松,35.1,0.72,50,0,0,0,11
25	,1235.TW,興泰,43.85,0.8,371,0,0,0,17
26	,1236.TW,宏亞,25.5,9.91,4045,10,0,0,17
27	,1240.TW,茂生農經,51.1,0,11,0,0,0,14
28	,1256.TW,鮮活果汁-KY,333,2.62,39,0,0,0,5
29	,1259.TW,安心,70,0.29,9,0,0,0,8
30	,1264.TW,德麥,291,0.34,6,0,0,0,11
31	,1268.TW,漢來美食,117.5,1.73,13,0,0,0,14
32	,1301.TW,台塑,104.5,0.97,8583,0,19,8,9
33	,1303.TW,南亞,84.6,-0.12,7387,0,27,3,8
34	,1304.TW,台聚,32.45,1.09,6299,8,4,5,6
35	,1305.TW,華夏,34.9,-0.57,5376,3,4,9,7
36	,1307.TW,三芳,20.85,1.21,63,1,0,0,10
37	,1308.TW,亞聚,38.45,1.85,13375,5,7,3,13
38	,1309.TW,台達化,34.25,0.74,986,3,1,5,8
39	,1310.TW,台苯,17.35,0.58,1076,1,0,0,9
40	,1312.TW,國喬,28.55,-0.7,12599,2,1,5,12
41	,1313.TW,聯成,21.55,0.94,4510,4,0,1,11
42	,1314.TW,中石化,12.65,0,12066,2,0,1,9
43	,1315.TW,達新,66.4,0,123,0,3,1,16
44	,1316.TW,上曜,20.75,2.47,11296,3,0,0,12
45	,1319.TW,東陽,33.2,-0.6,815,0,4,1,7
46	,1321.TW,大洋,35.35,0.43,120,1,0,0,10
47	,1323.TW,永裕,34.85,0,54,0,0,0,16
48	,1324.TW,地球,11,1.38,57,3,0,0,11
49	,1325.TW,恆大,45.15,-1.95,913,8,0,0,8
50	,1326.TW,台化,80.6,0.12,3816,0,4,6,10
51	,1336.TW,台翰,20.6,0,67,1,0,0,5
52	,1337.TW,再生-KY,7.18,0.84,475,1,0,0,4
53	,1338.TW,廣華-KY,53.6,1.32,218,0,0,0,15
54	,1339.TW,昭輝,34,-0.15,63,0,0,0,12
55	,1340.TW,勝悅-KY,11.1,0,98,1,0,0,10
56	,1342.TW,八貫,61.4,1.99,405,0,0,0,9
57	,1402.TW,遠東新,28.75,0,5685,0,15,4,11
58	,1409.TW,新纖,19.7,0,2360,3,3,1,11
59	,1410.TW,南染,37.15,-2.11,922,0,0,0,19
60	,1413.TW,宏洲,10.1,1,99,10,0,0,10
61	,1414.TW,東和,18.2,0.28,2456,11,1,0,14
62	,1416.TW,廣豐,11.25,0.9,242,0,0,0,9
63	,1417.TW,嘉裕,14.25,0.71,191,4,0,0,14
64	,1418.TW,東華,11.15,-0.45,8,5,0,0,21
65	,1419.TW,新紡,43.3,0.7,16,0,0,0,21
66	,1423.TW,利華,19.8,0.25,27,1,0,0,20
67	,1432.TW,大魯閣,12.8,0.39,145,5,0,0,18
68	,1434.TW,福懋,28.95,0,2659,0,12,4,6
69	,1435.TW,中福,27.35,0.18,43,8,0,0,21
70	,1436.TW,華友聯,53.8,-0.19,29,0,0,0,19
71	,1437.TW,勤益控,25.65,-0.19,44,0,0,0,8
72	,1438.TW,三地開發,30.3,-1.14,189,6,0,0,5
73	,1439.TW,中和,24.25,1.68,83,1,0,0,12
74	,1440.TW,南紡,22.9,-0.87,5266,11,6,3,10
75	,1441.TW,大東,9.3,0.11,94,15,0,0,9
76	,1442.TW,名軒,23.55,-0.63,483,1,1,0,8
77	,1443.TW,立益,16.5,-0.3,3,6,0,0,17
78	,1444.TW,力麗,11.05,-0.45,2419,3,0,0,8
79	,1445.TW,大宇,15.7,0,618,1,0,0,11
80	,1446.TW,宏和,33.5,0,52,2,0,0,5
81	,1447.TW,力鵬,10.05,0,1913,6,1,0,8
82	,1449.TW,佳和,14.9,0.68,141,2,0,0,7
83	,1451.TW,年興,20.55,0.74,95,3,0,0,12
84	,1452.TW,宏益,23.75,0.21,232,6,0,0,10
85	,1453.TW,大將,8.84,0.68,120,3,0,0,20
86	,1454.TW,台富,11.65,-0.43,117,1,0,0,9
87	,1455.TW,集盛,16.7,-1.18,4305,10,1,1,8
88	,1456.TW,怡華,23.25,-2.11,1139,12,0,0,10
89	,1457.TW,宜進,18.3,0,580,1,0,0,12
90	,1459.TW,聯發,13.4,1.13,957,10,0,0,14
91	,1460.TW,宏遠,9.57,0.63,2323,8,0,0,3
92	,1463.TW,強盛,14.75,0.68,1036,2,0,0,11
93	,1464.TW,得力,15.35,0.33,192,0,2,0,7
94	,1465.TW,偉全,12.25,0,29,0,0,0,5
95	,1466.TW,聚隆,15.25,-0.33,478,5,0,0,10
96	,1467.TW,南緯,14,0.36,392,3,0,0,11
97	,1468.TW,昶和,13.1,-0.38,62,7,0,0,15
98	,1470.TW,大統新創,18.65,1.91,90,0,0,0,10
99	,1471.TW,首利,7.58,2.71,556,19,0,0,9
100	,1472.TW,三洋實業,33.55,0,1,2,0,0,22
101	,1473.TW,台南,17.8,0,43,0,0,0,9
102	,1474.TW,弘裕,15,-0.33,371,7,0,0,6
103	,1475.TW,業旺,49,0,32,9,0,0,14
104	,1476.TW,儒鴻,622,1.14,1235,0,10,2,14
105	,1477.TW,聚陽,247.5,0,1679,0,14,10,11
106	,1503.TW,士電,54.2,2.46,110,0,0,0,21
107	,1504.TW,東元,30.65,1.16,2196,0,4,2,11
108	,1506.TW,正道,14.9,0,1729,5,0,0,14
109	,1507.TW,永大,64.5,0.16,444,2,0,0,5
110	,1513.TW,中興電,44.3,-1.56,4655,0,8,7,16
111	,1514.TW,亞力,24.25,2.97,1342,0,0,0,12
112	,1515.TW,力山,59.5,0.85,933,0,3,2,11
113	,1516.TW,川飛,23.75,-0.21,40,0,0,0,20
114	,1517.TW,利奇,26.7,-0.37,869,9,0,0,12
115	,1519.TW,華城,34.85,-0.14,330,1,0,0,8
116	,1521.TW,大億,41.3,-0.12,54,0,0,0,13
117	,1522.TW,堤維西,19.1,0,302,0,3,0,12
118	,1524.TW,耿鼎,11.25,-0.44,2045,0,0,0,10
119	,1525.TW,江申,59.7,0.34,6,1,0,0,8
120	,1526.TW,日馳,48.6,0,153,3,0,0,11
121	,1527.TW,鑽全,42.55,0.71,209,0,0,1,6
122	,1528.TW,恩德,11.25,-0.44,699,2,1,0,11
123	,1529.TW,樂士,22.9,2.46,5518,3,0,0,14
124	,1530.TW,亞崴,33,0,17,1,0,0,14
125	,1531.TW,高林股,15.6,1.63,445,0,0,0,8
126	,1532.TW,勤美,32.95,-0.15,371,0,1,0,13
127	,1533.TW,車王電,57,0.53,159,7,0,0,8
128	,1535.TW,中宇,39.05,0.13,38,1,0,0,9
129	,1536.TW,和大,91.1,0.22,489,0,0,4,9
130	,1537.TW,廣隆,138,-0.72,96,0,2,0,7
131	,1538.TW,正峰,11.05,2.79,1,3,0,0,16
132	,1539.TW,巨庭,24,-0.62,2592,0,0,0,13
133	,1540.TW,喬福,14.85,0,45,0,0,0,12
134	,1541.TW,錩泰,43.5,-0.34,16,2,0,0,19
135	,1558.TW,伸興,145,-0.34,36,0,0,0,10
136	,1560.TW,中砂,89.5,1.94,3866,0,6,0,14
137	,1565.TW,精華,314,2.95,464,0,6,8,10
138	,1568.TW,倉佑,20.8,0.48,155,5,0,0,10
139	,1569.TW,濱川,25.65,1.79,745,1,0,0,13
140	,1570.TW,力肯,26.2,2.54,3806,6,0,0,13
141	,1580.TW,新麥,105,0.48,72,0,3,0,5
142	,1582.TW,信錦,68.5,0.44,135,1,0,3,9
143	,1583.TW,程泰,62,0.81,17,0,0,0,12
144	,1584.TW,精剛,17.7,-0.84,832,13,0,0,8
145	,1586.TW,和勤,41,-0.12,52,0,0,0,23
146	,1587.TW,吉茂,25.35,-0.2,98,0,0,0,5
147	,1589.TW,永冠-KY,60.9,0,168,0,0,0,6
148	,1590.TW,亞德客-KY,905,3.31,1250,0,3,2,12
149	,1591.TW,駿吉-KY,14.8,0.68,8,3,0,0,9
150	,1593.TW,祺驊,82.4,-1.08,48,4,0,0,8
151	,1595.TW,川寶,46.45,1.86,202,2,0,0,12
152	,1597.TW,直得,85.9,0.23,74,0,0,2,14
153	,1598.TW,岱宇,56.9,0.18,503,0,2,1,15
154	,1599.TW,宏佳騰,43.25,-0.46,190,0,0,0,17
155	,1603.TW,華電,26.9,1.13,238,4,0,0,16
156	,1604.TW,聲寶,29.55,0,307,0,2,1,15
157	,1605.TW,華新,26.75,0.75,6826,6,7,3,15
158	,1608.TW,華榮,21.85,0.46,1067,13,1,0,11
159	,1609.TW,大亞,24.3,0.62,3271,4,2,2,7
160	,1611.TW,中電,18.85,5.9,38848,5,0,1,18
161	,1612.TW,宏泰,26.15,0.38,1712,3,1,1,10
162	,1614.TW,三洋電,36.3,-0.14,49,0,0,0,16
163	,1615.TW,大山,32.1,-0.16,47,5,0,0,4
164	,1616.TW,億泰,11.35,-2.16,2795,16,0,0,15
165	,1617.TW,榮星,17.95,0,83,5,0,0,16
166	,1618.TW,合機,14.55,0.34,189,4,0,0,11
167	,1626.TW,艾美特-KY,19.15,0,24,0,0,0,6
168	,1701.TW,中化,22.9,0.44,410,0,0,0,6
169	,1702.TW,南僑,49.1,0.41,225,0,5,4,6
170	,1707.TW,葡萄王,161.5,-0.31,47,0,1,1,9
171	,1708.TW,東鹼,35.55,-0.97,4100,6,1,0,14
172	,1709.TW,和益,22.1,-0.23,1680,1,1,0,11
173	,1710.TW,東聯,22.55,0.22,2858,2,0,2,8
174	,1711.TW,永光,27,3.05,19819,7,0,0,9
175	,1712.TW,興農,27.95,1.45,1033,0,0,0,11
