符合條件商品
資料日期：2022年  6月  2日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:36 符合檔數(16)
1	,2317.TW,鴻海,101,0,15490,114,-6.84,20,投連買
2	,6415.TW,矽力*-KY,445,1.37,2330,2940,-39.46,13,投連買
3	,2377.TW,微星,119.5,1.7,2513,132.5,-1.72,10,投連買
4	,3552.TW,同致,141.5,1.07,902,178,-19.25,9,投連買
5	,2338.TW,光罩,86.3,0.94,3470,92.2,-3.94,8,投連買
6	,2474.TW,可成,169,-1.74,2651,171,4.74,8,投連買
7	,3702.TW,大聯大,47.8,-0.52,2583,56.1,-8.74,7,投連買
8	,3711.TW,日月光投控,93.8,-3.6,11870,104,-2.29,7,投連買
9	,5876.TW,上海商銀,44.25,-0.45,2405,51.9,-11.62,7,投連買
10	,3374.TW,精材,99.5,-1.49,1508,146,-30.41,6,投連買
11	,3529.TW,力旺,1350,1.12,770,1550,-11.84,6,投連買
12	,6146.TW,耕興,231,2.21,247,196,23.9,6,投連買
13	,2454.TW,聯發科,660,-0.15,2431,898,-19.19,5,投連買
14	,3105.TW,穩懋,138,0.36,2757,221,-34.3,5,投連買
15	,3661.TW,世芯-KY,803,-1.35,2950,878,-7.38,5,投連買
16	,5483.TW,中美晶,143.5,-1.37,3418,170,-12.88,5,投連買
