符合條件商品
資料日期：2022年 12月 16日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/16),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:04 符合檔數(13)
1	,2891.TW,中信金,21.9,-1.13,23817,22.25,-1.57,19,投連買
2	,2327.TW,國巨,460,-1.39,1468,480.5,-4.27,14,投連買
3	,4919.TW,新唐,117,-2.09,4502,121,-3.31,12,投連買
4	,8050.TW,廣積,78.9,1.81,7925,84.2,-6.29,10,投連買
5	,3045.TW,台灣大,94.8,0,2514,94.1,0.74,8,投連買
6	,2231.TW,為升,142,-2.07,335,151,-5.96,7,投連買
7	,2731.TW,雄獅,102.5,0.99,1497,103,-0.49,7,投連買
8	,2458.TW,義隆,86.1,-1.71,718,90.3,-4.65,6,投連買
9	,5009.TW,榮剛,37.5,-0.66,11974,36.4,3.02,6,投連買
10	,6146.TW,耕興,231,2.21,247,229,0.87,6,投連買
11	,2308.TW,台達電,281,-1.92,5149,291,-3.44,5,投連買
12	,3515.TW,華擎,140.5,2.93,1979,148.5,-5.39,5,投連買
13	,6679.TW,鈺太,229,0.44,465,251.5,-8.95,5,投連買
