符合條件商品
資料日期：2022年  2月 25日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:53 符合檔數(51)
1	,1303.TW,南亞,70.3,-1.54,4616,87.7,-11.62,20,投連買
2	,1402.TW,遠東新,31.55,-4.39,10632,29.55,12.08,20,投連買
3	,2324.TW,仁寶,22.95,0.44,9576,25.4,-1.92,20,投連買
4	,2344.TW,華邦電,20.1,-0.99,9528,33,-36.73,20,投連買
5	,2347.TW,聯強,61,-0.81,2957,71.9,-8.64,20,投連買
6	,2353.TW,宏碁,23.15,0.22,5082,28.8,-11.64,20,投連買
7	,2356.TW,英業達,26,0.19,6530,25.65,7.66,20,投連買
8	,2357.TW,華碩,271,-1.63,1392,371.5,-15.99,20,投連買
9	,2382.TW,廣達,71.2,-0.97,4354,92.9,-16.87,20,投連買
10	,2408.TW,南亞科,51.4,-0.58,5241,77.1,-28.71,20,投連買
11	,2883.TW,開發金,12.7,-0.78,8936,18.95,-27.92,20,投連買
12	,2890.TW,永豐金,16.7,-4.84,27291,17.1,3.28,20,投連買
13	,2912.TW,統一超,268,-1.47,996,261.5,5.83,20,投連買
14	,3045.TW,台灣大,94.8,0,2514,103.5,-4.61,20,投連買
15	,3661.TW,世芯-KY,803,-1.35,2950,1075,-24.36,20,投連買
16	,4904.TW,遠傳,65.7,-0.3,2525,69.3,-1.34,20,投連買
17	,5269.TW,祥碩,717,0.14,564,1700,-56.65,20,投連買
18	,1216.TW,統一,65.9,0,2803,67.1,2.23,19,投連買
19	,2412.TW,中華電,112.5,-0.44,6521,124.5,-6.33,19,投連買
20	,2885.TW,元大金,21.8,-0.91,10786,24.85,-3.41,19,投連買
21	,2886.TW,兆豐金,30.55,-0.97,8425,37.6,-13.46,19,投連買
22	,2892.TW,第一金,26.3,-0.38,6392,25.7,8.41,19,投連買
23	,2337.TW,旺宏,35,0.57,15889,43.5,-14.28,17,投連買
24	,2377.TW,微星,119.5,1.7,2513,155.5,-16.25,17,投連買
25	,3017.TW,奇鋐,111,-1.77,2015,110,4.76,17,投連買
26	,1101.TW,台泥,34.05,-1.16,23484,47.35,-18.95,16,投連買
27	,2301.TW,光寶科,64,-0.47,4678,68.4,-0.84,15,投連買
28	,2354.TW,鴻準,51.4,-1.15,1092,63.8,-16.41,15,投連買
29	,2603.TW,長榮,167.5,-2.33,36972,143.5,-39.53,15,投連買
30	,8299.TW,群聯,305,-0.81,792,510,-35.42,13,投連買
31	,2317.TW,鴻海,101,0,15490,103,3.11,11,投連買
32	,2395.TW,研華,333,-1.48,273,366.5,-6.88,10,投連買
33	,2880.TW,華南金,22.5,-1.1,4175,22.1,8.75,10,投連買
34	,2884.TW,玉山金,24.1,-1.03,10272,29.45,-10.61,10,投連買
35	,2308.TW,台達電,281,-1.92,5149,246.5,16.71,8,投連買
36	,2409.TW,友達,15.4,0.65,36394,20.55,-25.68,7,投連買
37	,3035.TW,智原,159,0.63,7973,272.5,-40.31,7,投連買
38	,3189.TW,景碩,107,0,9581,227,-51.39,7,投連買
39	,4968.TW,立積,113.5,2.25,1398,213.5,-45.5,7,投連買
40	,2801.TW,彰銀,17.25,-0.29,2566,17.7,1.23,6,投連買
41	,3529.TW,力旺,1350,1.12,770,1845,-25.94,6,投連買
42	,1102.TW,亞泥,41.55,0.24,6062,45.1,-0.24,5,投連買
43	,1326.TW,台化,69.4,-0.72,1689,79,-6.66,5,投連買
44	,2002.TW,中鋼,30.7,0.16,37216,36,-5.33,5,投連買
45	,2027.TW,大成鋼,43.15,-1.93,15303,52.4,-12.46,5,投連買
46	,2368.TW,金像電,88.4,-1.12,3685,80.7,2.59,5,投連買
47	,2887.TW,台新金,15.2,0,6593,19.5,-15.23,5,投連買
48	,5871.TW,中租-KY,216.5,0.46,2711,251,-6.95,5,投連買
49	,5876.TW,上海商銀,44.25,-0.45,2405,45.8,0.14,5,投連買
50	,5880.TW,合庫金,25.95,-0.76,4866,26.45,4.72,5,投連買
51	,6104.TW,創惟,88.8,0.23,2437,245,-63.19,5,投連買
