符合條件商品
資料日期：2022年  5月 30日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/30),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:36 符合檔數(18)
1	,2317.TW,鴻海,101,0,15490,110.5,-3.88,20,投連買
2	,2885.TW,元大金,21.8,-0.91,10786,23.9,0.41,20,投連買
3	,2383.TW,台光電,176.5,-0.84,2034,233,-19.6,12,投連買
4	,6415.TW,矽力*-KY,445,1.37,2330,2870,-37.98,10,投連買
5	,2881.TW,富邦金,56.7,-0.18,6587,63.2,0.12,9,投連買
6	,1605.TW,華新,46.75,-1.68,42087,47.2,3.11,8,投連買
7	,6279.TW,胡連,149.5,-1.64,1303,127,21.47,8,投連買
8	,1101.TW,台泥,34.05,-1.16,23484,42.8,-10.35,7,投連買
9	,2324.TW,仁寶,22.95,0.44,9576,22.95,0,7,投連買
10	,2330.TW,台積電,455,-2.78,26724,547,-15.4,7,投連買
11	,2353.TW,宏碁,23.15,0.22,5082,29,-12.28,7,投連買
12	,2377.TW,微星,119.5,1.7,2513,134,-2.81,7,投連買
13	,2382.TW,廣達,71.2,-0.97,4354,79.1,-2.37,7,投連買
14	,3552.TW,同致,141.5,1.07,902,188.5,-23.75,6,投連買
15	,2338.TW,光罩,86.3,0.94,3470,91.1,-2.77,5,投連買
16	,2474.TW,可成,169,-1.74,2651,166,7.9,5,投連買
17	,3036.TW,文曄,62.7,-0.95,1327,76,-11.78,5,投連買
18	,6239.TW,力成,81.3,0.62,1926,97.7,-10.02,5,投連買
