符合條件商品
資料日期：2022年 11月 16日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/16),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:08 符合檔數(16)
1	,2303.TW,聯電,41.95,-2.1,34060,45.25,-7.29,13,投連買
2	,2327.TW,國巨,460,-1.39,1468,461,-0.22,13,投連買
3	,2454.TW,聯發科,660,-0.15,2431,729,-9.47,13,投連買
4	,4770.TW,上品,300.5,-4.6,1157,320,-6.09,13,投連買
5	,2379.TW,瑞昱,289,-0.52,1352,322,-10.25,12,投連買
6	,6274.TW,台燿,52.5,1.16,910,54.9,-4.37,11,投連買
7	,3008.TW,大立光,2140,0,324,2130,0.47,9,投連買
8	,3037.TW,欣興,125,2.46,35224,161.5,-22.6,9,投連買
9	,2330.TW,台積電,455,-2.78,26724,487,-6.03,8,投連買
10	,1909.TW,榮成,15.55,-0.32,1849,16.65,-6.61,7,投連買
11	,4966.TW,譜瑞-KY,825,0.86,553,818,0.86,7,投連買
12	,6781.TW,AES-KY,680,1.34,965,685,-0.73,7,投連買
13	,8046.TW,南電,242,-0.41,10124,272.5,-11.19,7,投連買
14	,5347.TW,世界,81.5,-1.69,3288,87.2,-6.54,6,投連買
15	,3592.TW,瑞鼎,307.5,0,497,324.5,-5.24,5,投連買
16	,5483.TW,中美晶,143.5,-1.37,3418,162,-11.42,5,投連買
