符合條件商品
資料日期：2021年 11月  5日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/05),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:25 符合檔數(18)
1	,2345.TW,智邦,237.5,-6.5,4085,283,-14.04,8,投連買
2	,6271.TW,同欣電,201,-4.29,2372,270,-29.27,7,投連買
3	,9917.TW,中保科,99.6,1.32,404,102.5,2.01,7,投連買
4	,1102.TW,亞泥,41.55,0.24,6062,44.8,0.44,6,投連買
5	,1402.TW,遠東新,31.55,-4.39,10632,29.4,12.64,6,投連買
6	,2301.TW,光寶科,64,-0.47,4678,61.5,10.29,6,投連買
7	,2376.TW,技嘉,106.5,1.43,5227,124,-1.28,6,投連買
8	,2412.TW,中華電,112.5,-0.44,6521,111,5.06,6,投連買
9	,2820.TW,華票,14.55,0,290,16.8,-8.43,6,投連買
10	,2883.TW,開發金,12.7,-0.78,8936,14.15,-3.5,6,投連買
11	,2888.TW,新光金,8.75,-0.57,13386,9.73,-6.02,6,投連買
12	,2889.TW,國票金,11.35,0,2314,15.8,-21.34,6,投連買
13	,2892.TW,第一金,26.3,-0.38,6392,23,21.14,6,投連買
14	,2912.TW,統一超,268,-1.47,996,284,-2.55,6,投連買
15	,5434.TW,崇越,167.5,0.9,197,140,26.34,6,投連買
16	,1326.TW,台化,69.4,-0.72,1689,80.5,-8.39,5,投連買
17	,2603.TW,長榮,167.5,-2.33,36972,114,-23.89,5,投連買
18	,3596.TW,智易,98.3,-0.2,490,113.5,-7.66,5,投連買
