符合條件商品
資料日期：2021年 12月 16日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/16),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:21 符合檔數(9)
1	,6669.TW,緯穎,819,-1.33,686,1055,-19.88,20,投連買
2	,3034.TW,聯詠,301.5,-0.17,3163,534,-31.86,13,投連買
3	,4961.TW,天鈺,117,0.86,1402,287,-53.13,12,投連買
4	,2615.TW,萬海,86.2,-1.15,55180,196.5,-45.15,10,投連買
5	,2891.TW,中信金,21.9,-1.13,23817,25.5,-9.28,10,投連買
6	,2409.TW,友達,15.4,0.65,36394,23.15,-34.02,9,投連買
7	,2376.TW,技嘉,106.5,1.43,5227,158,-22.52,7,投連買
8	,8069.TW,元太,167,-1.47,11565,143,18.8,7,投連買
9	,1102.TW,亞泥,41.55,0.24,6062,42.95,4.74,6,投連買
