符合條件商品
資料日期：2022年  5月 25日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(16)
1	,2317.TW,鴻海,101,0,15490,109.5,-3.01,20,投連買
2	,2885.TW,元大金,21.8,-0.91,10786,23.05,4.11,20,投連買
3	,3017.TW,奇鋐,111,-1.77,2015,118,-2.34,12,投連買
4	,1795.TW,美時,232,0.22,11755,131.5,79.01,11,投連買
5	,2383.TW,台光電,176.5,-0.84,2034,226,-17.11,9,投連買
6	,4958.TW,臻鼎-KY,108,-1.37,2633,113,0.08,9,投連買
7	,2634.TW,漢翔,34.55,3.13,14471,33.85,3.1,8,投連買
8	,2449.TW,京元電子,36.4,-1.75,4505,44.3,-11.28,7,投連買
9	,6415.TW,矽力*-KY,445,1.37,2330,2575,-30.87,7,投連買
10	,1319.TW,東陽,41.05,0.37,2564,38.7,8.14,6,投連買
11	,2881.TW,富邦金,56.7,-0.18,6587,59.5,6.34,6,投連買
12	,4551.TW,智伸科,146,-0.68,691,155,-2.84,6,投連買
13	,5009.TW,榮剛,37.5,-0.66,11974,31.6,18.67,6,投連買
14	,1605.TW,華新,46.75,-1.68,42087,44.2,10.1,5,投連買
15	,4915.TW,致伸,55.1,-0.9,3460,60.6,-4.01,5,投連買
16	,6279.TW,胡連,149.5,-1.64,1303,120.5,28.02,5,投連買
