符合條件商品
資料日期：2021年 11月 23日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/23),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:23 符合檔數(10)
1	,2891.TW,中信金,21.9,-1.13,23817,24.5,-5.56,14,投連買
2	,2890.TW,永豐金,16.7,-4.84,27291,15.3,15.49,13,投連買
3	,6669.TW,緯穎,819,-1.33,686,993,-14.88,11,投連買
4	,2454.TW,聯發科,660,-0.15,2431,1055,-31.22,10,投連買
5	,8422.TW,可寧衛,177.5,0,124,239.5,-21.82,9,投連買
6	,2603.TW,長榮,167.5,-2.33,36972,119.5,-27.39,8,投連買
7	,6457.TW,紘康,62.5,-1.26,183,216.5,-66.88,8,投連買
8	,2882.TW,國泰金,41.15,1.86,33982,60.8,-27.19,6,投連買
9	,3483.TW,力致,54.3,0.18,103,93.5,-39.02,6,投連買
10	,4968.TW,立積,113.5,2.25,1398,309.5,-62.4,5,投連買
