符合條件商品
資料日期：2022年 11月  9日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(19)
1	,2881.TW,富邦金,56.7,-0.18,6587,53.7,5.59,13,投連買
2	,5871.TW,中租-KY,216.5,0.46,2711,169.5,27.73,10,投連買
3	,2892.TW,第一金,26.3,-0.38,6392,25.3,3.95,9,投連買
4	,2303.TW,聯電,41.95,-2.1,34060,41.45,1.21,8,投連買
5	,2327.TW,國巨,460,-1.39,1468,424,8.49,8,投連買
6	,2408.TW,南亞科,51.4,-0.58,5241,58.1,-11.53,8,投連買
7	,2454.TW,聯發科,660,-0.15,2431,650,1.54,8,投連買
8	,4770.TW,上品,300.5,-4.6,1157,275.5,9.07,8,投連買
9	,2379.TW,瑞昱,289,-0.52,1352,284,1.76,7,投連買
10	,2882.TW,國泰金,41.15,1.86,33982,40.15,2.49,7,投連買
11	,2883.TW,開發金,12.7,-0.78,8936,12.5,1.6,7,投連買
12	,2890.TW,永豐金,16.7,-4.84,27291,16.55,0.91,7,投連買
13	,4977.TW,眾達-KY,97.5,-1.42,2016,98.6,-1.12,7,投連買
14	,6274.TW,台燿,52.5,1.16,910,50.5,3.96,6,投連買
15	,6643.TW,M31,504,0,3247,386.5,30.4,6,投連買
16	,2376.TW,技嘉,106.5,1.43,5227,102.5,3.9,5,投連買
17	,3105.TW,穩懋,138,0.36,2757,141,-2.13,5,投連買
18	,4904.TW,遠傳,65.7,-0.3,2525,69.1,-4.92,5,投連買
19	,8255.TW,朋程,177,5.04,12777,151.5,16.83,5,投連買
