符合條件商品
資料日期：2021年 12月 17日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/17),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:20 符合檔數(16)
1	,3034.TW,聯詠,301.5,-0.17,3163,531,-31.48,14,投連買
2	,4961.TW,天鈺,117,0.86,1402,290.5,-53.69,13,投連買
3	,2615.TW,萬海,86.2,-1.15,55180,200,-46.11,11,投連買
4	,2376.TW,技嘉,106.5,1.43,5227,154.5,-20.76,8,投連買
5	,8069.TW,元太,167,-1.47,11565,143,18.8,8,投連買
6	,1102.TW,亞泥,41.55,0.24,6062,42.95,4.74,7,投連買
7	,1227.TW,佳格,39.4,-0.51,249,53.2,-22.59,5,投連買
8	,2015.TW,豐興,65.9,1.85,274,83.8,-17.03,5,投連買
9	,2451.TW,創見,66.8,0.45,561,72.6,0.85,5,投連買
10	,2886.TW,兆豐金,30.55,-0.97,8425,35.9,-9.37,5,投連買
11	,2912.TW,統一超,268,-1.47,996,275,0.64,5,投連買
12	,3008.TW,大立光,2140,0,324,2235,0.81,5,投連買
13	,3035.TW,智原,159,0.63,7973,225.5,-27.86,5,投連買
14	,3596.TW,智易,98.3,-0.2,490,125.5,-16.48,5,投連買
15	,5483.TW,中美晶,143.5,-1.37,3418,225,-33.16,5,投連買
16	,9940.TW,信義,27.2,-0.18,182,36.6,-19.19,5,投連買
