符合條件商品
資料日期：2022年  3月  9日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:51 符合檔數(37)
1	,1303.TW,南亞,70.3,-1.54,4616,88,-11.92,20,投連買
2	,2337.TW,旺宏,35,0.57,15889,41.5,-10.14,20,投連買
3	,2344.TW,華邦電,20.1,-0.99,9528,31.75,-34.25,20,投連買
4	,2408.TW,南亞科,51.4,-0.58,5241,74.9,-26.61,20,投連買
5	,2603.TW,長榮,167.5,-2.33,36972,156,-44.38,20,投連買
6	,2885.TW,元大金,21.8,-0.91,10786,24.2,-0.82,20,投連買
7	,2912.TW,統一超,268,-1.47,996,265,4.43,20,投連買
8	,8299.TW,群聯,305,-0.81,792,478,-31.09,20,投連買
9	,2880.TW,華南金,22.5,-1.1,4175,21.9,9.76,17,投連買
10	,2884.TW,玉山金,24.1,-1.03,10272,28.8,-8.61,17,投連買
11	,2308.TW,台達電,281,-1.92,5149,241.5,19.13,15,投連買
12	,2801.TW,彰銀,17.25,-0.29,2566,17.3,3.54,13,投連買
13	,5871.TW,中租-KY,216.5,0.46,2711,235,-0.61,12,投連買
14	,5876.TW,上海商銀,44.25,-0.45,2405,45.2,1.47,12,投連買
15	,2330.TW,台積電,455,-2.78,26724,568,-18.13,11,投連買
16	,3044.TW,健鼎,96,1.59,1391,127,-19.12,11,投連買
17	,3711.TW,日月光投控,93.8,-3.6,11870,98.2,3.47,11,投連買
18	,4938.TW,和碩,64.2,0.31,3317,68.9,0.72,11,投連買
19	,6147.TW,頎邦,58.6,0.51,604,71.6,-9.05,11,投連買
20	,6239.TW,力成,81.3,0.62,1926,95.5,-7.95,11,投連買
21	,6505.TW,台塑化,80.1,-1.11,1418,100,-16.55,11,投連買
22	,6531.TW,愛普*,170,0,2500,335,-47.92,11,投連買
23	,3105.TW,穩懋,138,0.36,2757,286.5,-49.32,10,投連買
24	,1301.TW,台塑,86.8,-0.46,6046,105.5,-10.93,9,投連買
25	,2303.TW,聯電,41.95,-2.1,34060,51.8,-13.77,9,投連買
26	,3006.TW,晶豪科,66.2,0,3117,153.5,-52.6,9,投連買
27	,3034.TW,聯詠,301.5,-0.17,3163,452.5,-19.59,9,投連買
28	,8046.TW,南電,242,-0.41,10124,486.5,-48.48,9,投連買
29	,3264.TW,欣銓,49.85,-0.89,1243,48.8,8.25,8,投連買
30	,3532.TW,台勝科,142,-2.07,1152,277,-47.98,8,投連買
31	,2014.TW,中鴻,27.6,1.1,53751,41.8,-26.83,7,投連買
32	,1560.TW,中砂,109.5,-1.35,2814,109,2.69,6,投連買
33	,2395.TW,研華,333,-1.48,273,356,-4.13,6,投連買
34	,4919.TW,新唐,117,-2.09,4502,143.5,-14.91,6,投連買
35	,2207.TW,和泰車,592,-0.67,113,575,6.4,5,投連買
36	,3017.TW,奇鋐,111,-1.77,2015,116,-0.66,5,投連買
37	,6781.TW,AES-KY,680,1.34,965,1275,-45.88,5,投連買
