符合條件商品
資料日期：2022年  7月  5日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/05),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:33 符合檔數(53)
1	,2317.TW,鴻海,101,0,15490,102.5,-1.46,20,投連買
2	,2324.TW,仁寶,22.95,0.44,9576,22.15,3.61,20,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,52.5,-12.64,20,投連買
4	,9933.TW,中鼎,41.85,0.6,916,41.3,1.33,19,投連買
5	,1303.TW,南亞,70.3,-1.54,4616,80.6,-3.83,17,投連買
6	,1402.TW,遠東新,31.55,-4.39,10632,32.25,2.67,17,投連買
7	,2308.TW,台達電,281,-1.92,5149,220.5,27.44,17,投連買
8	,2357.TW,華碩,271,-1.63,1392,304.5,2.49,17,投連買
9	,2474.TW,可成,169,-1.74,2651,160,11.94,17,投連買
10	,2891.TW,中信金,21.9,-1.13,23817,24.3,-4.78,17,投連買
11	,2412.TW,中華電,112.5,-0.44,6521,127,-11.42,14,投連買
12	,2883.TW,開發金,12.7,-0.78,8936,14.25,-4.15,14,投連買
13	,4904.TW,遠傳,65.7,-0.3,2525,87,-21.4,14,投連買
14	,1319.TW,東陽,41.05,0.37,2564,47.1,-12.85,12,投連買
15	,2395.TW,研華,333,-1.48,273,338,0.97,12,投連買
16	,2887.TW,台新金,15.2,0,6593,16.1,2.63,12,投連買
17	,3008.TW,大立光,2140,0,324,1755,24.3,12,投連買
18	,5871.TW,中租-KY,216.5,0.46,2711,191,13.35,12,投連買
19	,3023.TW,信邦,275.5,-0.18,232,242,16.69,11,投連買
20	,1216.TW,統一,65.9,0,2803,68.7,-0.14,10,投連買
21	,2882.TW,國泰金,41.15,1.86,33982,46.75,-11.98,10,投連買
22	,2892.TW,第一金,26.3,-0.38,6392,25.95,7.35,10,投連買
23	,1504.TW,東元,27.25,-0.37,1749,28.65,-4.89,9,投連買
24	,2855.TW,統一證,15.85,0,341,18.25,-2.64,9,投連買
25	,2912.TW,統一超,268,-1.47,996,276.5,0.09,9,投連買
26	,4958.TW,臻鼎-KY,108,-1.37,2633,96.3,12.15,9,投連買
27	,6005.TW,群益證,11.1,0,1344,13.9,-8.19,9,投連買
28	,1101.TW,台泥,34.05,-1.16,23484,40.75,-5.84,8,投連買
29	,2301.TW,光寶科,64,-0.47,4678,56.6,15.61,8,投連買
30	,2347.TW,聯強,61,-0.81,2957,52.2,16.86,8,投連買
31	,2356.TW,英業達,26,0.19,6530,24.75,11.54,8,投連買
32	,2886.TW,兆豐金,30.55,-0.97,8425,35.55,-8.48,8,投連買
33	,3702.TW,大聯大,47.8,-0.52,2583,53,-3.41,8,投連買
34	,5347.TW,世界,81.5,-1.69,3288,69.1,17.95,8,投連買
35	,5904.TW,寶雅,447.5,-0.33,243,361.5,28.81,8,投連買
36	,6505.TW,台塑化,80.1,-1.11,1418,93.3,-14.15,8,投連買
37	,8114.TW,振樺電,110,0.92,219,140.5,-21.71,8,投連買
38	,9958.TW,世紀鋼,88.9,-1.22,9352,112.5,-17.94,8,投連買
39	,1304.TW,台聚,22.1,1.61,6105,24.35,-0.41,7,投連買
40	,1305.TW,華夏,26.5,1.15,17566,30.05,-3.11,7,投連買
41	,2104.TW,國際中橡,19.6,0.77,1331,19.85,-1.26,7,投連買
42	,2360.TW,致茂,179,0.56,783,142.5,31.31,7,投連買
43	,2382.TW,廣達,71.2,-0.97,4354,79.5,-2.86,7,投連買
44	,3293.TW,鈊象,425.5,-0.23,3602,764,18.99,7,投連買
45	,2610.TW,華航,19,-1.55,26392,23.35,-15.63,6,投連買
46	,2634.TW,漢翔,34.55,3.13,14471,34.7,0.58,6,投連買
47	,2890.TW,永豐金,16.7,-4.84,27291,16.85,4.83,6,投連買
48	,3045.TW,台灣大,94.8,0,2514,109,-9.42,6,投連買
49	,3218.TW,大學光,290,0.17,438,289,5.36,6,投連買
50	,1513.TW,中興電,66,0.15,12515,54.7,27.14,5,投連買
51	,2881.TW,富邦金,56.7,-0.18,6587,60.3,4.94,5,投連買
52	,4739.TW,康普,94.9,-1.15,795,122.5,-22.53,5,投連買
53	,9914.TW,美利達,171,-2.29,298,260,-31.89,5,投連買
