符合條件商品
資料日期：2021年 12月  8日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:21 符合檔數(9)
1	,6669.TW,緯穎,819,-1.33,686,1050,-19.5,20,投連買
2	,2412.TW,中華電,112.5,-0.44,6521,114,2.3,14,投連買
3	,2408.TW,南亞科,51.4,-0.58,5241,76.9,-28.52,13,投連買
4	,3532.TW,台勝科,142,-2.07,1152,298,-51.65,13,投連買
5	,3675.TW,德微,168,2.75,1849,278.5,-38.26,10,投連買
6	,3034.TW,聯詠,301.5,-0.17,3163,519,-29.89,7,投連買
7	,4961.TW,天鈺,117,0.86,1402,268.5,-49.9,6,投連買
8	,5871.TW,中租-KY,216.5,0.46,2711,263.5,-11.36,6,投連買
9	,5222.TW,全訊,134.5,-2.18,132,219,-37.23,5,投連買
