符合條件商品
資料日期：2022年 12月 14日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:04 符合檔數(26)
1	,1303.TW,南亞,70.3,-1.54,4616,73.9,-4.87,20,投連買
2	,2353.TW,宏碁,23.15,0.22,5082,23.4,-1.07,20,投連買
3	,2881.TW,富邦金,56.7,-0.18,6587,57.5,-1.39,19,投連買
4	,2883.TW,開發金,12.7,-0.78,8936,12.85,-1.17,17,投連買
5	,2891.TW,中信金,21.9,-1.13,23817,22.9,-4.37,17,投連買
6	,2002.TW,中鋼,30.7,0.16,37216,29.05,5.68,15,投連買
7	,1301.TW,台塑,86.8,-0.46,6046,87.2,-0.46,12,投連買
8	,2327.TW,國巨,460,-1.39,1468,486,-5.35,12,投連買
9	,2015.TW,豐興,65.9,1.85,274,67.5,-2.37,10,投連買
10	,2504.TW,國產,25.1,1.01,1440,25.3,-0.79,10,投連買
11	,3010.TW,華立,85.6,1.66,269,86.7,-1.27,10,投連買
12	,4919.TW,新唐,117,-2.09,4502,125,-6.4,10,投連買
13	,5306.TW,桂盟,140,0.72,338,150.5,-5.5,10,投連買
14	,8150.TW,南茂,32.9,1.23,1428,33.4,-1.5,10,投連買
15	,9917.TW,中保科,99.6,1.32,404,99.9,-0.3,10,投連買
16	,6239.TW,力成,81.3,0.62,1926,83.8,-2.98,9,投連買
17	,2204.TW,中華,50.1,0.91,1497,55.9,-10.38,8,投連買
18	,2206.TW,三陽工業,33.7,0.45,1845,36.8,-8.42,8,投連買
19	,8050.TW,廣積,78.9,1.81,7925,86,-8.26,8,投連買
20	,2885.TW,元大金,21.8,-0.91,10786,22.3,-2.24,7,投連買
21	,3045.TW,台灣大,94.8,0,2514,95.4,-0.63,6,投連買
22	,5434.TW,崇越,167.5,0.9,197,169,-0.89,6,投連買
23	,1513.TW,中興電,66,0.15,12515,66.5,-0.75,5,投連買
24	,2231.TW,為升,142,-2.07,335,156,-8.97,5,投連買
25	,2412.TW,中華電,112.5,-0.44,6521,111.5,0.9,5,投連買
26	,2731.TW,雄獅,102.5,0.99,1497,103,-0.49,5,投連買
