符合條件商品
資料日期：2022年 12月  9日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:05 符合檔數(32)
1	,1303.TW,南亞,70.3,-1.54,4616,73.5,-4.35,17,投連買
2	,2353.TW,宏碁,23.15,0.22,5082,23.6,-1.91,17,投連買
3	,2881.TW,富邦金,56.7,-0.18,6587,57.5,-1.39,16,投連買
4	,2882.TW,國泰金,41.15,1.86,33982,41.1,0.12,14,投連買
5	,2883.TW,開發金,12.7,-0.78,8936,12.95,-1.93,14,投連買
6	,2891.TW,中信金,21.9,-1.13,23817,22.7,-3.52,14,投連買
7	,8454.TW,富邦媒,626,0,570,636,-1.57,14,投連買
8	,2002.TW,中鋼,30.7,0.16,37216,29.05,5.68,12,投連買
9	,1301.TW,台塑,86.8,-0.46,6046,87.9,-1.25,9,投連買
10	,2327.TW,國巨,460,-1.39,1468,479,-3.97,9,投連買
11	,6278.TW,台表科,92.4,-0.86,1062,95.8,-3.55,9,投連買
12	,2015.TW,豐興,65.9,1.85,274,66.5,-0.9,7,投連買
13	,2451.TW,創見,66.8,0.45,561,66.9,-0.15,7,投連買
14	,2504.TW,國產,25.1,1.01,1440,25.6,-1.95,7,投連買
15	,3010.TW,華立,85.6,1.66,269,86.2,-0.7,7,投連買
16	,3218.TW,大學光,290,0.17,438,292,-0.68,7,投連買
17	,4919.TW,新唐,117,-2.09,4502,121.5,-3.7,7,投連買
18	,5306.TW,桂盟,140,0.72,338,157.5,-9.7,7,投連買
19	,6257.TW,矽格,48.85,0.31,824,49.5,-1.31,7,投連買
20	,6412.TW,群電,74.5,2.48,374,73.3,1.64,7,投連買
21	,8150.TW,南茂,32.9,1.23,1428,33.3,-1.2,7,投連買
22	,9917.TW,中保科,99.6,1.32,404,99.4,0.2,7,投連買
23	,1477.TW,聚陽,238.5,0,510,244.5,-2.45,6,投連買
24	,2634.TW,漢翔,34.55,3.13,14471,34.85,-0.86,6,投連買
25	,3289.TW,宜特,77.8,1.7,3592,90.3,-13.84,6,投連買
26	,4137.TW,麗豐-KY,206,-2.37,510,202,1.98,6,投連買
27	,6239.TW,力成,81.3,0.62,1926,82.6,-1.57,6,投連買
28	,2204.TW,中華,50.1,0.91,1497,53.6,-6.53,5,投連買
29	,2206.TW,三陽工業,33.7,0.45,1845,37.7,-10.61,5,投連買
30	,3587.TW,閎康,165,3.13,1620,166.5,-0.9,5,投連買
31	,4770.TW,上品,300.5,-4.6,1157,330,-8.94,5,投連買
32	,8050.TW,廣積,78.9,1.81,7925,84,-6.07,5,投連買
