符合條件商品
資料日期：2021年 11月  2日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:25 符合檔數(9)
1	,5425.TW,台半,75.3,0,4216,85.3,-8.89,20,投連買
2	,2481.TW,強茂,60.4,-0.33,2094,111.5,-42.81,7,投連買
3	,3707.TW,漢磊,86.9,0,3034,154,-43.35,7,投連買
4	,2313.TW,華通,45.95,-1.08,9582,40.4,18.06,6,投連買
5	,6669.TW,緯穎,819,-1.33,686,886,-4.6,6,投連買
6	,2345.TW,智邦,237.5,-6.5,4085,251,-3.08,5,投連買
7	,2409.TW,友達,15.4,0.65,36394,19,-19.62,5,投連買
8	,2455.TW,全新,67,0,1464,137.5,-48.76,5,投連買
9	,6470.TW,宇智,55.7,-0.18,210,44.5,30.35,5,投連買
