符合條件商品
資料日期：2021年 11月 11日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:24 符合檔數(31)
1	,9917.TW,中保科,99.6,1.32,404,107,-2.29,11,投連買
2	,1102.TW,亞泥,41.55,0.24,6062,45.3,-0.69,10,投連買
3	,1402.TW,遠東新,31.55,-4.39,10632,30,10.39,10,投連買
4	,2301.TW,光寶科,64,-0.47,4678,61.3,10.65,10,投連買
5	,2376.TW,技嘉,106.5,1.43,5227,137,-10.65,10,投連買
6	,2412.TW,中華電,112.5,-0.44,6521,112.5,3.66,10,投連買
7	,2883.TW,開發金,12.7,-0.78,8936,14.5,-5.79,10,投連買
8	,2888.TW,新光金,8.75,-0.57,13386,9.88,-7.41,10,投連買
9	,2889.TW,國票金,11.35,0,2314,15.75,-21.07,10,投連買
10	,2892.TW,第一金,26.3,-0.38,6392,23.15,20.37,10,投連買
11	,1326.TW,台化,69.4,-0.72,1689,80.4,-8.27,9,投連買
12	,3596.TW,智易,98.3,-0.2,490,113,-7.25,9,投連買
13	,2882.TW,國泰金,41.15,1.86,33982,58.6,-24.45,8,投連買
14	,1210.TW,大成,45.45,1.91,1876,52.4,-6.37,6,投連買
15	,1216.TW,統一,65.9,0,2803,67.2,2.09,6,投連買
16	,1303.TW,南亞,70.3,-1.54,4616,85.3,-9.13,6,投連買
17	,2409.TW,友達,15.4,0.65,36394,19.9,-23.23,6,投連買
18	,2610.TW,華航,19,-1.55,26392,25.35,-22.29,6,投連買
19	,2891.TW,中信金,21.9,-1.13,23817,23.6,-1.97,6,投連買
20	,1476.TW,儒鴻,492.5,1.23,1098,658,-22.9,5,投連買
21	,2324.TW,仁寶,22.95,0.44,9576,24.1,3.38,5,投連買
22	,2347.TW,聯強,61,-0.81,2957,57.9,13.45,5,投連買
23	,2352.TW,佳世達,27.5,1.66,4573,33.25,-9.92,5,投連買
24	,2356.TW,英業達,26,0.19,6530,26.4,4.59,5,投連買
25	,2357.TW,華碩,271,-1.63,1392,365,-14.49,5,投連買
26	,2385.TW,群光,87.2,0.11,1118,81.5,15.3,5,投連買
27	,2449.TW,京元電子,36.4,-1.75,4505,41.55,-5.41,5,投連買
28	,2886.TW,兆豐金,30.55,-0.97,8425,33.8,-3.72,5,投連買
29	,2890.TW,永豐金,16.7,-4.84,27291,14.35,23.07,5,投連買
30	,3045.TW,台灣大,94.8,0,2514,99.5,-0.77,5,投連買
31	,6176.TW,瑞儀,106,0.47,1064,96.7,19.41,5,投連買
