符合條件商品
資料日期：2022年 12月 19日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/19),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:04 符合檔數(13)
1	,2891.TW,中信金,21.9,-1.13,23817,22.05,-0.68,20,投連買
2	,2327.TW,國巨,460,-1.39,1468,472,-2.54,15,投連買
3	,2231.TW,為升,142,-2.07,335,151.5,-6.27,8,投連買
4	,2731.TW,雄獅,102.5,0.99,1497,98.3,4.27,8,投連買
5	,6146.TW,耕興,231,2.21,247,225,2.67,7,投連買
6	,3515.TW,華擎,140.5,2.93,1979,141,-0.35,6,投連買
7	,1605.TW,華新,46.75,-1.68,42087,46.95,-0.43,5,投連買
8	,2027.TW,大成鋼,43.15,-1.93,15303,42,2.74,5,投連買
9	,2597.TW,潤弘,121.5,0,132,123,-1.22,5,投連買
10	,2637.TW,慧洋-KY,64.8,-3.28,13996,61.9,4.68,5,投連買
11	,2903.TW,遠百,21.6,0.47,1990,21.2,1.89,5,投連買
12	,2912.TW,統一超,268,-1.47,996,270.5,-0.92,5,投連買
13	,6271.TW,同欣電,201,-4.29,2372,210,-4.29,5,投連買
