符合條件商品
資料日期：2021年 12月  2日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:22 符合檔數(13)
1	,6669.TW,緯穎,819,-1.33,686,1020,-17.14,18,投連買
2	,6679.TW,鈺太,229,0.44,465,375,-37.48,11,投連買
3	,2412.TW,中華電,112.5,-0.44,6521,114,2.3,10,投連買
4	,2344.TW,華邦電,20.1,-0.99,9528,31.75,-34.25,9,投連買
5	,2408.TW,南亞科,51.4,-0.58,5241,79.8,-31.13,9,投連買
6	,3532.TW,台勝科,142,-2.07,1152,257,-43.93,9,投連買
7	,6182.TW,合晶,41.8,-0.36,1757,85.4,-49.64,9,投連買
8	,3653.TW,健策,369.5,-0.81,1389,441,-5.92,8,投連買
9	,2353.TW,宏碁,23.15,0.22,5082,28.1,-9.46,7,投連買
10	,2885.TW,元大金,21.8,-0.91,10786,24.55,-2.24,7,投連買
11	,3675.TW,德微,168,2.75,1849,255,-32.57,6,投連買
12	,2330.TW,台積電,455,-2.78,26724,615,-24.03,5,投連買
13	,3217.TW,優群,80.7,0.37,119,123,-29.04,5,投連買
