符合條件商品
資料日期：2022年  7月 18日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/18),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:31 符合檔數(16)
1	,1402.TW,遠東新,31.55,-4.39,10632,32.15,3,20,投連買
2	,2308.TW,台達電,281,-1.92,5149,245,14.69,20,投連買
3	,2474.TW,可成,169,-1.74,2651,170,5.36,20,投連買
4	,3008.TW,大立光,2140,0,324,1990,9.62,20,投連買
5	,1101.TW,台泥,34.05,-1.16,23484,40.7,-5.7,17,投連買
6	,3702.TW,大聯大,47.8,-0.52,2583,52.8,-3.04,17,投連買
7	,2382.TW,廣達,71.2,-0.97,4354,80.7,-4.3,16,投連買
8	,2352.TW,佳世達,27.5,1.66,4573,30.85,-2.93,11,投連買
9	,2377.TW,微星,119.5,1.7,2513,115,13.24,11,投連買
10	,6781.TW,AES-KY,680,1.34,965,1110,-38.74,9,投連買
11	,2633.TW,台灣高鐵,28.75,-0.52,2418,29.45,-2.38,8,投連買
12	,6669.TW,緯穎,819,-1.33,686,720,13.75,8,投連買
13	,3017.TW,奇鋐,111,-1.77,2015,104,10.8,7,投連買
14	,8046.TW,南電,242,-0.41,10124,259,-6.56,7,投連買
15	,3003.TW,健和興,70.4,0.28,187,81.4,-13.51,5,投連買
16	,3533.TW,嘉澤,829,0.36,375,697,21.92,5,投連買
