符合條件商品
資料日期：2021年 12月 10日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/10),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:21 符合檔數(14)
1	,6669.TW,緯穎,819,-1.33,686,1065,-20.64,20,投連買
2	,3034.TW,聯詠,301.5,-0.17,3163,508,-28.37,9,投連買
3	,4961.TW,天鈺,117,0.86,1402,265.5,-49.33,8,投連買
4	,1476.TW,儒鴻,492.5,1.23,1098,618,-17.9,6,投連買
5	,2603.TW,長榮,167.5,-2.33,36972,140,-38.02,6,投連買
6	,2610.TW,華航,19,-1.55,26392,28.7,-31.36,6,投連買
7	,2615.TW,萬海,86.2,-1.15,55180,210.5,-48.8,6,投連買
8	,2891.TW,中信金,21.9,-1.13,23817,25.95,-10.87,6,投連買
9	,3037.TW,欣興,125,2.46,35224,224.5,-43.06,6,投連買
10	,3624.TW,光頡,40.35,0.62,414,59.1,-28.82,6,投連買
11	,8299.TW,群聯,305,-0.81,792,475.5,-29.21,6,投連買
12	,2395.TW,研華,333,-1.48,273,380.5,-10.31,5,投連買
13	,2409.TW,友達,15.4,0.65,36394,22.2,-31.19,5,投連買
14	,3141.TW,晶宏,79.9,0.63,950,271,-69.38,5,投連買
