符合條件商品
資料日期：2021年 12月 13日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:21 符合檔數(11)
1	,6669.TW,緯穎,819,-1.33,686,1080,-21.74,20,投連買
2	,3034.TW,聯詠,301.5,-0.17,3163,520,-30.03,10,投連買
3	,4961.TW,天鈺,117,0.86,1402,270.5,-50.27,9,投連買
4	,1476.TW,儒鴻,492.5,1.23,1098,620,-18.17,7,投連買
5	,2610.TW,華航,19,-1.55,26392,27,-27.04,7,投連買
6	,2615.TW,萬海,86.2,-1.15,55180,201.5,-46.52,7,投連買
7	,2891.TW,中信金,21.9,-1.13,23817,25.85,-10.5,7,投連買
8	,3037.TW,欣興,125,2.46,35224,220.5,-42.03,7,投連買
9	,8299.TW,群聯,305,-0.81,792,488.5,-31.1,7,投連買
10	,2395.TW,研華,333,-1.48,273,381,-10.42,6,投連買
11	,2409.TW,友達,15.4,0.65,36394,22,-30.57,6,投連買
