符合條件商品
資料日期：2022年 12月 13日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:04 符合檔數(26)
1	,1303.TW,南亞,70.3,-1.54,4616,72.6,-3.17,19,投連買
2	,2353.TW,宏碁,23.15,0.22,5082,23,0.65,19,投連買
3	,2881.TW,富邦金,56.7,-0.18,6587,57.6,-1.56,18,投連買
4	,2883.TW,開發金,12.7,-0.78,8936,12.8,-0.78,16,投連買
5	,2891.TW,中信金,21.9,-1.13,23817,22.7,-3.52,16,投連買
6	,2002.TW,中鋼,30.7,0.16,37216,29.15,5.32,14,投連買
7	,1301.TW,台塑,86.8,-0.46,6046,86.3,0.58,11,投連買
8	,2327.TW,國巨,460,-1.39,1468,474,-2.95,11,投連買
9	,2015.TW,豐興,65.9,1.85,274,67,-1.64,9,投連買
10	,2451.TW,創見,66.8,0.45,561,67,-0.3,9,投連買
11	,2504.TW,國產,25.1,1.01,1440,25.45,-1.38,9,投連買
12	,3010.TW,華立,85.6,1.66,269,86.6,-1.15,9,投連買
13	,4919.TW,新唐,117,-2.09,4502,120,-2.5,9,投連買
14	,5306.TW,桂盟,140,0.72,338,148,-3.91,9,投連買
15	,6257.TW,矽格,48.85,0.31,824,50.1,-2.5,9,投連買
16	,6412.TW,群電,74.5,2.48,374,74.7,-0.27,9,投連買
17	,8150.TW,南茂,32.9,1.23,1428,33.25,-1.05,9,投連買
18	,9917.TW,中保科,99.6,1.32,404,99.4,0.2,9,投連買
19	,6239.TW,力成,81.3,0.62,1926,82.2,-1.09,8,投連買
20	,2204.TW,中華,50.1,0.91,1497,55.2,-9.24,7,投連買
21	,2206.TW,三陽工業,33.7,0.45,1845,36.25,-7.03,7,投連買
22	,8050.TW,廣積,78.9,1.81,7925,84.5,-6.63,7,投連買
23	,2885.TW,元大金,21.8,-0.91,10786,22.1,-1.36,6,投連買
24	,3045.TW,台灣大,94.8,0,2514,95.1,-0.32,5,投連買
25	,5434.TW,崇越,167.5,0.9,197,168.5,-0.59,5,投連買
26	,6811.TW,宏碁資訊,133,-0.37,7,134.5,-1.12,5,投連買
