符合條件商品
資料日期：2021年 12月  7日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:22 符合檔數(11)
1	,6669.TW,緯穎,819,-1.33,686,1010,-16.31,20,投連買
2	,2412.TW,中華電,112.5,-0.44,6521,114,2.3,13,投連買
3	,2408.TW,南亞科,51.4,-0.58,5241,77.5,-29.07,12,投連買
4	,3532.TW,台勝科,142,-2.07,1152,271,-46.83,12,投連買
5	,3675.TW,德微,168,2.75,1849,283,-39.24,9,投連買
6	,3217.TW,優群,80.7,0.37,119,125,-30.18,8,投連買
7	,3006.TW,晶豪科,66.2,0,3117,166,-56.17,6,投連買
8	,3034.TW,聯詠,301.5,-0.17,3163,513,-29.07,6,投連買
9	,2454.TW,聯發科,660,-0.15,2431,1065,-31.86,5,投連買
10	,4961.TW,天鈺,117,0.86,1402,267,-49.62,5,投連買
11	,5871.TW,中租-KY,216.5,0.46,2711,260,-10.17,5,投連買
