符合條件商品
資料日期：2021年 11月 22日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-11-22 18:49 符合檔數(1743)
114	,1514.TW,亞力,24.1,0,380,40.1
115	,1515.TW,力山,64,0,373,47.54
116	,1516.TW,川飛,23.35,2.41,118,52.54
117	,1517.TW,利奇,27.45,-1.96,2073,45.42
118	,1519.TW,華城,36.35,1.54,308,65.38
119	,1521.TW,大億,41.85,-0.24,139,60.02
120	,1522.TW,堤維西,19.45,-0.77,272,55.77
121	,1524.TW,耿鼎,10.05,0,444,46.42
122	,1525.TW,江申,60.7,0,30,81.69
123	,1526.TW,日馳,50.9,0.39,452,30.21
124	,1527.TW,鑽全,43.2,-0.46,149,22.92
125	,1528.TW,恩德,11.45,0.88,2557,50.51
126	,1529.TW,樂士,17.35,-0.57,354,68.98
127	,1530.TW,亞崴,32.8,0.31,4,74.92
128	,1531.TW,高林股,15.2,2.01,365,60.08
129	,1532.TW,勤美,31.85,-1.55,309,68.16
130	,1533.TW,車王電,59.1,1.2,441,52.43
131	,1535.TW,中宇,39.2,-0.25,86,75.87
132	,1536.TW,和大,94.9,0.96,989,54.91
133	,1537.TW,廣隆,138.5,0,80,43.91
134	,1538.TW,正峰,10.95,0.46,11,35.52
135	,1539.TW,巨庭,19.4,1.84,115,58.1
136	,1540.TW,喬福,14.95,-0.66,78,31.23
137	,1541.TW,錩泰,43.55,-0.23,6,80.56
138	,1558.TW,伸興,145,-0.34,82,11.27
139	,1560.TW,中砂,87.7,-3.63,3661,47.64
140	,1565.TW,精華,309,1.48,136,19.33
141	,1568.TW,倉佑,22.15,0.91,86,54.15
142	,1569.TW,濱川,24.95,-0.99,194,39.89
143	,1570.TW,力肯,21.05,4.47,1933,23.13
144	,1580.TW,新麥,103.5,0,68,36.83
145	,1582.TW,信錦,69.2,0.44,229,30.48
146	,1583.TW,程泰,62.5,0,1,90.1
147	,1584.TW,精剛,17.8,0,482,65.35
148	,1586.TW,和勤,41.4,0.12,106,46.26
149	,1587.TW,吉茂,25.8,-0.58,165,39.59
150	,1589.TW,永冠-KY,63.1,0,256,35.44
151	,1590.TW,亞德客-KY,860,2.63,488,59.49
152	,1591.TW,駿吉-KY,14.8,0,9,49.35
153	,1593.TW,祺驊,85.4,-0.12,59,19.08
154	,1595.TW,川寶,49.5,6.45,998,47.48
155	,1597.TW,直得,89.9,0,156,37.46
156	,1598.TW,岱宇,61.9,-0.16,226,50.27
157	,1599.TW,宏佳騰,44.3,0,97,57.55
158	,1603.TW,華電,27.15,0.56,105,82.05
159	,1604.TW,聲寶,29.6,0,393,52.19
160	,1605.TW,華新,27.8,1.28,12195,74.59
161	,1608.TW,華榮,22.8,1.33,3068,61.63
162	,1609.TW,大亞,25.1,0.2,3155,28.46
163	,1611.TW,中電,14.5,-3.65,6652,56.73
164	,1612.TW,宏泰,25.3,-2.5,3261,55.06
165	,1614.TW,三洋電,36.5,0.14,109,72.57
166	,1615.TW,大山,32.35,-0.31,54,79.92
167	,1616.TW,億泰,9,1.69,1015,55.96
168	,1617.TW,榮星,16.7,1.21,139,75.84
169	,1618.TW,合機,14.65,-1.01,284,56.81
170	,1626.TW,艾美特-KY,19.3,-0.52,27,59.46
171	,1701.TW,中化,22.35,-0.22,330,52.16
172	,1702.TW,南僑,48.85,-0.51,293,63.56
173	,1707.TW,葡萄王,165,-0.3,79,61.42
174	,1708.TW,東鹼,33.05,0.92,2906,39.66
175	,1709.TW,和益,23.95,1.48,2701,62.32
176	,1710.TW,東聯,22.95,0.88,6331,58.6
177	,1711.TW,永光,27.4,-0.18,12543,43.21
178	,1712.TW,興農,27.65,4.34,3435,41.23
179	,1713.TW,國化,24.4,0,178,66.7
180	,1714.TW,和桐,11.2,1.82,3922,52.81
181	,1717.TW,長興,36.7,-0.68,3664,67.16
182	,1718.TW,中纖,10.2,0,5570,45
183	,1720.TW,生達,40.3,0.5,275,59.91
184	,1721.TW,三晃,23.65,-1.25,2487,38.22
185	,1722.TW,台肥,68.9,0.29,1677,61.63
186	,1723.TW,中碳,118,3.06,2238,52.51
187	,1725.TW,元禎,37.7,4.14,990,93.12
188	,1726.TW,永記,73.3,0,13,85.16
189	,1727.TW,中華化,51.6,-1.34,6134,53.87
190	,1730.TW,花仙子,63.5,-0.16,44,53.02
191	,1731.TW,美吾華,19.2,0,115,51.81
192	,1732.TW,毛寶,26.6,2.11,771,44.35
193	,1733.TW,五鼎,24.05,1.05,210,12.34
194	,1734.TW,杏輝,28.9,0,695,23.88
195	,1735.TW,日勝化,18,0.84,10,83.63
196	,1736.TW,喬山,60,-0.5,351,77.98
197	,1737.TW,臺鹽,33.25,-0.3,217,52.66
198	,1742.TW,台蠟,19.55,-1.01,44,57.52
199	,1752.TW,南光,36.75,0.55,72,59.03
200	,1760.TW,寶齡富錦,70.4,2.47,724,23.72
201	,1762.TW,中化生,62.5,0.64,479,39.87
202	,1773.TW,勝一,136.5,0.37,95,64.99
203	,1776.TW,展宇,23,3.37,223,53.61
204	,1777.TW,生泰,68.9,-0.29,38,47.57
205	,1781.TW,合世,13.95,-0.36,37,27.67
206	,1783.TW,和康生,57.6,2.13,833,55.66
207	,1784.TW,訊聯,43,-1.15,3903,21.18
208	,1785.TW,光洋科,53.8,0.56,13297,41.49
209	,1786.TW,科妍,51.6,0.19,37,43.71
210	,1788.TW,杏昌,139.5,0.72,38,42.35
211	,1789.TW,神隆,24.25,-0.82,586,76.08
212	,1795.TW,美時,111.5,-2.62,4652,73.07
213	,1796.TW,金穎生技,37.5,0.13,12,50.43
214	,1799.TW,易威,15.4,1.32,54,71.41
215	,1802.TW,台玻,27.35,3.21,12504,83.23
216	,1805.TW,寶徠,13.65,0.37,16,72.78
217	,1806.TW,冠軍,12.05,2.12,1528,69.41
218	,1808.TW,潤隆,59.8,0.67,60,85.06
219	,1809.TW,中釉,14.3,1.06,691,48.31
220	,1810.TW,和成,17.4,4.82,5130,69.34
221	,1813.TW,寶利徠,18.15,-0.27,92,27.21
222	,1815.TW,富喬,17.35,1.76,2004,29.37
223	,1817.TW,凱撒衛,37,1.09,70,48.82
224	,1903.TW,士紙,71.7,-1.1,202,79.18
225	,1904.TW,正隆,35.35,-0.42,1690,65.54
226	,1905.TW,華紙,22.55,-0.88,1923,71.88
227	,1906.TW,寶隆,20.1,0.25,236,66.63
228	,1907.TW,永豐餘,33.8,0,4103,77.89
229	,1909.TW,榮成,24.95,-0.2,2489,69.27
230	,2002.TW,中鋼,32.6,0,50389,60.33
231	,2006.TW,東和鋼鐵,42.45,1.43,3715,63.99
232	,2007.TW,燁興,21.1,1.44,3048,75.88
233	,2008.TW,高興昌,19.1,1.06,150,84.76
234	,2009.TW,第一銅,44.2,0.34,1323,56.33
235	,2010.TW,春源,22,0.69,2231,61.35
236	,2012.TW,春雨,29.6,-0.67,419,71.32
237	,2013.TW,中鋼構,51.3,1.38,1112,67.82
238	,2014.TW,中鴻,33.4,1.67,15366,52.5
239	,2015.TW,豐興,78.8,0.64,92,81.06
240	,2017.TW,官田鋼,19.45,1.57,1239,64.17
241	,2020.TW,美亞,30.65,0.49,443,50.39
242	,2022.TW,聚亨,13.85,0,4039,25.5
243	,2023.TW,燁輝,23.65,0.42,10249,68.92
244	,2024.TW,志聯,20.1,1.01,146,70.1
245	,2025.TW,千興,5.2,0.58,595,29.71
246	,2027.TW,大成鋼,44.65,2.17,14049,55.21
247	,2028.TW,威致,38.2,-0.26,1787,78.13
248	,2029.TW,盛餘,32.3,1.41,1230,68.97
249	,2030.TW,彰源,29.2,1.39,3790,32.55
250	,2031.TW,新光鋼,56.6,0.89,1611,43.46
251	,2032.TW,新鋼,23.25,1.09,508,46.02
252	,2033.TW,佳大,17.3,1.17,252,54.05
253	,2034.TW,允強,31.4,0.96,1065,42.43
254	,2035.TW,唐榮,36.8,1.24,36,96.49
255	,2038.TW,海光,33.2,0.45,3071,48.23
256	,2049.TW,上銀,288.5,0.87,746,58.6
257	,2059.TW,川湖,487.5,2.42,336,69.17
258	,2061.TW,風青,21.7,2.36,555,46.25
259	,2062.TW,橋椿,28.1,0.36,213,60.14
260	,2063.TW,世鎧,36.85,0.14,62,32.83
