符合條件商品
資料日期：2022年 10月 27日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/27),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:16 符合檔數(10)
1	,1560.TW,中砂,109.5,-1.35,2814,104.5,4.78,16,投連賣
2	,6515.TW,穎崴,404,-1.46,559,318,27.04,13,投連賣
3	,3406.TW,玉晶光,364,-0.68,820,299,21.74,12,投連賣
4	,5439.TW,高技,46.85,0,102,39.3,19.21,11,投連賣
5	,6491.TW,晶碩,404.5,-1.94,432,283,42.93,9,投連賣
6	,3567.TW,逸昌,24.95,0.4,68,23.35,6.85,8,投連賣
7	,1513.TW,中興電,66,0.15,12515,50.7,30.18,7,投連賣
8	,3131.TW,弘塑,225,-0.88,34,182.5,23.29,6,投連賣
9	,4105.TW,東洋,82.8,0.24,1226,74.4,11.29,6,投連賣
10	,3596.TW,智易,98.3,-0.2,490,90,9.22,5,投連賣
