符合條件商品
資料日期：2022年  7月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(27)
1	,5230.TW,雷笛克光學,22.8,0,19,22.3,2.24,18,投連賣
2	,4919.TW,新唐,117,-2.09,4502,117,4.37,16,投連賣
3	,3675.TW,德微,168,2.75,1849,186,-7.56,12,投連賣
4	,6577.TW,勁豐,58.7,0,2,57.1,2.8,11,投連賣
5	,2640.TW,大車隊,86.4,1.17,61,78.2,15.54,10,投連賣
6	,3035.TW,智原,159,0.63,7973,165,-1.41,9,投連賣
7	,3707.TW,漢磊,86.9,0,3034,88.5,-1.42,9,投連賣
8	,1477.TW,聚陽,238.5,0,510,147.5,61.69,8,投連賣
9	,1904.TW,正隆,27.15,-1.09,381,25.75,5.44,8,投連賣
10	,2606.TW,裕民,50.1,-3.47,10468,40.6,23.4,8,投連賣
11	,3006.TW,晶豪科,66.2,0,3117,82.2,-19.46,8,投連賣
12	,3533.TW,嘉澤,829,0.36,375,612,38.85,8,投連賣
13	,5274.TW,信驊,1830,0.83,312,1755,4.27,8,投連賣
14	,6176.TW,瑞儀,106,0.47,1064,83.9,26.34,8,投連賣
15	,3567.TW,逸昌,24.95,0.4,68,29.25,-6.83,7,投連賣
16	,4938.TW,和碩,64.2,0.31,3317,57.4,11.85,7,投連賣
17	,6138.TW,茂達,117.5,-0.42,755,137.5,-8.5,7,投連賣
18	,2006.TW,東和鋼鐵,53.2,0.95,1881,49.8,6.83,6,投連賣
19	,3653.TW,健策,369.5,-0.81,1389,316,31.3,6,投連賣
20	,4129.TW,聯合,50.6,2.64,2781,27.85,81.69,6,投連賣
21	,6187.TW,萬潤,65,0.93,810,78.5,-12.16,6,投連賣
22	,6683.TW,雍智科技,189.5,0.26,103,175,12.66,6,投連賣
23	,1326.TW,台化,69.4,-0.72,1689,70.1,-1,5,投連賣
24	,3105.TW,穩懋,138,0.36,2757,171.5,-19.53,5,投連賣
25	,3131.TW,弘塑,225,-0.88,34,222.5,8.68,5,投連賣
26	,4927.TW,泰鼎-KY,54.5,-0.73,593,65.8,-11.81,5,投連賣
27	,6698.TW,旭暉應材,28.85,0.87,8,29.1,-0.86,5,投連賣
