符合條件商品
資料日期：2021年 11月  2日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:02 符合檔數(15)
1	,1301.TW,台塑,86.8,-0.46,6046,106.5,-11.77,10,投連賣
2	,4919.TW,新唐,117,-2.09,4502,128,-4.6,8,投連賣
3	,2303.TW,聯電,41.95,-2.1,34060,59,-24.29,7,投連賣
4	,3645.TW,達邁,32.55,-1.21,101,40.75,-17.72,7,投連賣
5	,6147.TW,頎邦,58.6,0.51,604,63.6,2.39,7,投連賣
6	,2368.TW,金像電,88.4,-1.12,3685,68.7,20.52,6,投連賣
7	,3529.TW,力旺,1350,1.12,770,2330,-41.35,6,投連賣
8	,2344.TW,華邦電,20.1,-0.99,9528,26.2,-20.3,5,投連賣
9	,2454.TW,聯發科,660,-0.15,2431,928,-21.81,5,投連賣
10	,3661.TW,世芯-KY,803,-1.35,2950,1170,-30.5,5,投連賣
11	,3711.TW,日月光投控,93.8,-3.6,11870,98.8,2.85,5,投連賣
12	,5871.TW,中租-KY,216.5,0.46,2711,269.5,-13.33,5,投連賣
13	,6415.TW,矽力*-KY,445,1.37,2330,4650,-61.51,5,投連賣
14	,8081.TW,致新,141,-1.05,262,219,-29.12,5,投連賣
15	,8358.TW,金居,51.3,-0.58,1372,73.8,-23.55,5,投連賣
