符合條件商品
資料日期：2022年 12月  2日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(39)
1	,1402.TW,遠東新,31.55,-4.39,10632,32.3,-2.32,17,投連賣
2	,2890.TW,永豐金,16.7,-4.84,27291,17.85,-6.44,15,投連賣
3	,2474.TW,可成,169,-1.74,2651,176.5,-4.25,14,投連賣
4	,1605.TW,華新,46.75,-1.68,42087,48.9,-4.4,13,投連賣
5	,1216.TW,統一,65.9,0,2803,65,1.38,12,投連賣
6	,6533.TW,晶心科,494.5,-1.69,4905,537,-7.91,11,投連賣
7	,2301.TW,光寶科,64,-0.47,4678,65.1,-1.69,10,投連賣
8	,2324.TW,仁寶,22.95,0.44,9576,21.55,6.5,10,投連賣
9	,2356.TW,英業達,26,0.19,6530,23.9,8.79,10,投連賣
10	,5876.TW,上海商銀,44.25,-0.45,2405,48.2,-8.2,10,投連賣
11	,1101.TW,台泥,34.05,-1.16,23484,33.65,1.19,9,投連賣
12	,2014.TW,中鴻,27.6,1.1,53751,23.6,16.95,9,投連賣
13	,2892.TW,第一金,26.3,-0.38,6392,25.85,1.74,9,投連賣
14	,3023.TW,信邦,275.5,-0.18,232,272,1.29,9,投連賣
15	,4945.TW,陞達科技,46.75,-2.6,16,51.4,-9.05,9,投連賣
16	,1304.TW,台聚,22.1,1.61,6105,21.9,0.91,8,投連賣
17	,1717.TW,長興,31.5,-1.25,930,33.1,-4.83,8,投連賣
18	,2027.TW,大成鋼,43.15,-1.93,15303,40.5,6.54,8,投連賣
19	,2344.TW,華邦電,20.1,-0.99,9528,22,-8.64,8,投連賣
20	,2352.TW,佳世達,27.5,1.66,4573,28.95,-5.01,8,投連賣
21	,2449.TW,京元電子,36.4,-1.75,4505,36.4,0,8,投連賣
22	,2492.TW,華新科,78.7,-1.38,848,88.4,-10.97,8,投連賣
23	,2542.TW,興富發,40.35,-3.93,8630,44.25,-8.81,8,投連賣
24	,2915.TW,潤泰全,66.7,0.15,4192,67.2,-0.74,8,投連賣
25	,3231.TW,緯創,29.9,-0.83,12268,27.6,8.33,8,投連賣
26	,3293.TW,鈊象,425.5,-0.23,3602,392,8.55,8,投連賣
27	,5220.TW,萬達光電,28.2,-0.88,20,29.3,-3.75,8,投連賣
28	,5904.TW,寶雅,447.5,-0.33,243,442.5,1.13,8,投連賣
29	,2317.TW,鴻海,101,0,15490,105.5,-4.27,7,投連賣
30	,4958.TW,臻鼎-KY,108,-1.37,2633,122.5,-11.84,7,投連賣
31	,2884.TW,玉山金,24.1,-1.03,10272,24.15,-0.21,6,投連賣
32	,3034.TW,聯詠,301.5,-0.17,3163,299,0.84,6,投連賣
33	,6643.TW,M31,504,0,3247,518,-2.7,6,投連賣
34	,8299.TW,群聯,305,-0.81,792,335,-5.93,6,投連賣
35	,2303.TW,聯電,41.95,-2.1,34060,45.5,-7.8,5,投連賣
36	,3479.TW,安勤,75.1,9.96,7374,61.6,21.92,5,投連賣
37	,3533.TW,嘉澤,829,0.36,375,886,-6.43,5,投連賣
38	,3592.TW,瑞鼎,307.5,0,497,313,-1.76,5,投連賣
39	,8050.TW,廣積,78.9,1.81,7925,76.1,3.68,5,投連賣
