符合條件商品
資料日期：2022年  7月 15日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(23)
1	,1477.TW,聚陽,238.5,0,510,138,72.83,13,投連賣
2	,2606.TW,裕民,50.1,-3.47,10468,38.75,29.29,13,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,80.4,-17.66,13,投連賣
4	,6176.TW,瑞儀,106,0.47,1064,84.5,25.44,13,投連賣
5	,4938.TW,和碩,64.2,0.31,3317,58.7,9.37,12,投連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,48.35,10.03,11,投連賣
7	,6683.TW,雍智科技,189.5,0.26,103,174.5,12.98,11,投連賣
8	,1326.TW,台化,69.4,-0.72,1689,65.6,5.79,10,投連賣
9	,3131.TW,弘塑,225,-0.88,34,227,6.52,10,投連賣
10	,6698.TW,旭暉應材,28.85,0.87,8,29.75,-3.03,10,投連賣
11	,2383.TW,台光電,176.5,-0.84,2034,154.5,21.25,9,投連賣
12	,2404.TW,漢唐,182,-2.41,755,140,30,9,投連賣
13	,2809.TW,京城銀,33.9,-3.42,3989,32.75,3.51,9,投連賣
14	,6269.TW,台郡,99.2,-0.8,645,82,20.98,9,投連賣
15	,9904.TW,寶成,34.05,0.44,6898,27.2,25.18,9,投連賣
16	,1303.TW,南亞,70.3,-1.54,4616,62.6,12.3,8,投連賣
17	,2409.TW,友達,15.4,0.65,36394,14.3,-0.26,7,投連賣
18	,3661.TW,世芯-KY,803,-1.35,2950,600,35.53,6,投連賣
19	,8341.TW,日友,162.5,-7.41,2828,181.5,-10.47,6,投連賣
20	,3592.TW,瑞鼎,307.5,0,497,269,14.31,5,投連賣
21	,4739.TW,康普,94.9,-1.15,795,113.5,-16.39,5,投連賣
22	,6205.TW,詮欣,70.9,-0.7,430,62.5,13.44,5,投連賣
23	,6472.TW,保瑞,406.5,-2.28,4588,218,105.2,5,投連賣
