符合條件商品
資料日期：2021年 12月  6日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:57 符合檔數(18)
1	,3661.TW,世芯-KY,803,-1.35,2950,1005,-19.09,16,投連賣
2	,4958.TW,臻鼎-KY,108,-1.37,2633,98.7,14.59,14,投連賣
3	,9914.TW,美利達,171,-2.29,298,300.5,-41.07,14,投連賣
4	,6510.TW,精測,490.5,-1.21,161,667,-23.72,10,投連賣
5	,6781.TW,AES-KY,680,1.34,965,1455,-52.58,10,投連賣
6	,8155.TW,博智,108,-1.37,385,127.5,-11.02,10,投連賣
7	,8255.TW,朋程,177,5.04,12777,237,-23.12,9,投連賣
8	,2360.TW,致茂,179,0.56,783,188,-0.47,8,投連賣
9	,3189.TW,景碩,107,0,9581,237,-53.45,8,投連賣
10	,6239.TW,力成,81.3,0.62,1926,96.8,-9.18,8,投連賣
11	,2337.TW,旺宏,35,0.57,15889,42.35,-11.95,7,投連賣
12	,2345.TW,智邦,237.5,-6.5,4085,283.5,-14.19,7,投連賣
13	,2383.TW,台光電,176.5,-0.84,2034,275.5,-32.01,7,投連賣
14	,2883.TW,開發金,12.7,-0.78,8936,16.45,-16.99,6,投連賣
15	,3152.TW,璟德,179.5,-0.28,16,346.5,-45.75,6,投連賣
16	,3645.TW,達邁,32.55,-1.21,101,42.25,-20.63,5,投連賣
17	,3665.TW,貿聯-KY,251,-2.33,1391,248.5,4.15,5,投連賣
18	,5439.TW,高技,46.85,0,102,59.5,-14.1,5,投連賣
