符合條件商品
資料日期：2021年 11月 19日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/19),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:59 符合檔數(20)
1	,2317.TW,鴻海,101,0,15490,106.5,-0.28,16,投連賣
2	,3264.TW,欣銓,49.85,-0.89,1243,56.6,-6.67,15,投連賣
3	,2360.TW,致茂,179,0.56,783,181.5,3.09,14,投連賣
4	,2308.TW,台達電,281,-1.92,5149,261,10.23,12,投連賣
5	,6732.TW,昇佳電子,220,-1.57,74,529,-55.1,10,投連賣
6	,1722.TW,台肥,53.1,-0.56,1033,68.7,-19.28,7,投連賣
7	,3218.TW,大學光,290,0.17,438,287,8.12,7,投連賣
8	,8436.TW,大江,174.5,-3.32,9916,207.5,-10.55,7,投連賣
9	,1319.TW,東陽,41.05,0.37,2564,33.25,25.88,6,投連賣
10	,5871.TW,中租-KY,216.5,0.46,2711,251,-6.95,6,投連賣
11	,6147.TW,頎邦,58.6,0.51,604,67.3,-3.24,6,投連賣
12	,8046.TW,南電,242,-0.41,10124,548,-54.26,6,投連賣
13	,1802.TW,台玻,21.2,0.24,12096,26.5,-12.43,5,投連賣
14	,2002.TW,中鋼,30.7,0.16,37216,32.6,4.53,5,投連賣
15	,3037.TW,欣興,125,2.46,35224,195.5,-34.61,5,投連賣
16	,3131.TW,弘塑,225,-0.88,34,377,-35.86,5,投連賣
17	,3189.TW,景碩,107,0,9581,235,-53.05,5,投連賣
18	,3661.TW,世芯-KY,803,-1.35,2950,1160,-29.9,5,投連賣
19	,3665.TW,貿聯-KY,251,-2.33,1391,253.5,2.1,5,投連賣
20	,5347.TW,世界,81.5,-1.69,3288,156,-44.34,5,投連賣
