符合條件商品
資料日期：2022年  5月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:40 符合檔數(12)
1	,8299.TW,群聯,305,-0.81,792,389,-15.33,19,投連賣
2	,1531.TW,高林股,13.95,-0.36,46,14.75,-0.85,16,投連賣
3	,1817.TW,凱撒衛,37.9,0.4,40,35.2,14.23,16,投連賣
4	,2236.TW,百達-KY,23.6,0.43,223,26.1,3.19,16,投連賣
5	,8433.TW,弘帆,62.4,0.32,14,42.8,52.64,16,投連賣
6	,5284.TW,jpp-KY,68.8,-2.41,2843,43.9,64.91,15,投連賣
7	,5439.TW,高技,46.85,0,102,48.65,5.07,15,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,519,-14.52,15,投連賣
9	,8255.TW,朋程,177,5.04,12777,162.5,12.12,12,投連賣
10	,5269.TW,祥碩,717,0.14,564,1440,-48.82,9,投連賣
11	,6271.TW,同欣電,201,-4.29,2372,231,-17.32,9,投連賣
12	,3189.TW,景碩,107,0,9581,175,-36.95,6,投連賣
